inst#,actual,predicted,error,distribution,,
58,1:positive,2:neutral,+,0.122,*0.871,0.007
59,1:positive,1:positive,,*0.504,0.092,0.405
60,1:positive,1:positive,,*0.945,0,0.055
61,1:positive,1:positive,,*0.6,0.379,0.021
62,1:positive,1:positive,,*0.811,0.188,0.001
63,1:positive,1:positive,,*0.626,0.339,0.034
64,1:positive,1:positive,,*1,0,0
65,1:positive,1:positive,,*0.998,0,0.002
66,1:positive,3:negative,+,0.317,0.147,*0.536
67,1:positive,1:positive,,*0.707,0.005,0.288
68,1:positive,1:positive,,*0.973,0.026,0.001
69,1:positive,2:neutral,+,0.482,*0.51,0.009
70,1:positive,3:negative,+,0.194,0.002,*0.804
71,1:positive,3:negative,+,0.088,0.134,*0.778
72,1:positive,2:neutral,+,0.37,*0.623,0.007
73,1:positive,1:positive,,*0.967,0.031,0.002
74,1:positive,1:positive,,*0.883,0.021,0.096
75,1:positive,1:positive,,*0.853,0.145,0.001
76,1:positive,1:positive,,*0.897,0.102,0.001
77,1:positive,1:positive,,*0.649,0.35,0.001
78,1:positive,2:neutral,+,0.321,*0.656,0.023
79,1:positive,1:positive,,*0.972,0.019,0.009
80,1:positive,1:positive,,*0.571,0.427,0.001
81,1:positive,3:negative,+,0.244,0.185,*0.571
82,1:positive,2:neutral,+,0.095,*0.811,0.093
83,1:positive,1:positive,,*0.963,0.035,0.002
84,1:positive,2:neutral,+,0.234,*0.636,0.13
85,1:positive,1:positive,,*0.84,0.146,0.014
86,1:positive,1:positive,,*0.972,0.013,0.015
87,1:positive,1:positive,,*0.871,0.128,0.001
88,1:positive,1:positive,,*0.824,0.136,0.04
89,1:positive,1:positive,,*0.971,0.008,0.021
90,1:positive,1:positive,,*0.678,0.207,0.115
91,1:positive,1:positive,,*0.998,0,0.002
92,1:positive,2:neutral,+,0.005,*0.57,0.425
93,1:positive,1:positive,,*0.961,0.036,0.003
94,1:positive,3:negative,+,0.035,0.258,*0.707
95,1:positive,1:positive,,*0.916,0.083,0.001
96,1:positive,1:positive,,*0.674,0.325,0.001
97,1:positive,1:positive,,*0.914,0.012,0.075
98,1:positive,1:positive,,*0.617,0.382,0.001
99,1:positive,1:positive,,*0.923,0.071,0.007
100,1:positive,1:positive,,*0.945,0.054,0.001
101,1:positive,1:positive,,*0.937,0.063,0
102,1:positive,1:positive,,*0.714,0.286,0.001
103,1:positive,1:positive,,*0.999,0,0
104,1:positive,1:positive,,*0.952,0.04,0.008
105,1:positive,1:positive,,*0.877,0.077,0.046
106,1:positive,1:positive,,*0.696,0.29,0.014
107,1:positive,1:positive,,*0.878,0.076,0.046
108,1:positive,1:positive,,*0.989,0.01,0
109,1:positive,1:positive,,*1,0,0
110,1:positive,2:neutral,+,0.016,*0.942,0.041
111,1:positive,1:positive,,*0.933,0.044,0.023
112,1:positive,1:positive,,*0.975,0.015,0.01
113,1:positive,1:positive,,*0.887,0.113,0
114,1:positive,1:positive,,*1,0,0
115,1:positive,1:positive,,*0.95,0.001,0.049
116,1:positive,2:neutral,+,0.129,*0.862,0.009
117,1:positive,3:negative,+,0.408,0.141,*0.451
118,1:positive,1:positive,,*0.6,0.392,0.008
119,1:positive,1:positive,,*0.993,0.007,0
120,1:positive,1:positive,,*0.886,0.092,0.022
121,1:positive,1:positive,,*1,0,0
122,1:positive,1:positive,,*0.909,0.09,0
123,1:positive,1:positive,,*0.956,0.044,0
124,1:positive,1:positive,,*0.981,0.014,0.005
125,1:positive,2:neutral,+,0.347,*0.54,0.112
126,1:positive,1:positive,,*0.725,0.264,0.012
127,1:positive,1:positive,,*0.982,0.018,0
128,1:positive,1:positive,,*0.51,0.43,0.061
129,1:positive,1:positive,,*0.925,0.074,0.001
130,1:positive,1:positive,,*0.878,0.118,0.004
131,1:positive,1:positive,,*0.813,0.127,0.061
132,1:positive,1:positive,,*0.856,0.143,0.001
133,1:positive,2:neutral,+,0.426,*0.574,0
134,1:positive,3:negative,+,0.024,0.012,*0.963
135,1:positive,2:neutral,+,0.175,*0.812,0.013
136,1:positive,1:positive,,*0.829,0.168,0.003
137,1:positive,1:positive,,*0.673,0.306,0.021
138,1:positive,1:positive,,*0.684,0.182,0.134
139,1:positive,2:neutral,+,0.193,*0.785,0.022
140,1:positive,2:neutral,+,0.159,*0.84,0.001
141,1:positive,1:positive,,*0.932,0.067,0.001
142,1:positive,2:neutral,+,0.039,*0.809,0.152
143,1:positive,2:neutral,+,0.011,*0.715,0.274
144,1:positive,1:positive,,*0.992,0.006,0.003
145,1:positive,1:positive,,*0.914,0.049,0.037
146,1:positive,1:positive,,*0.999,0,0.001
147,1:positive,1:positive,,*0.937,0.062,0.001
148,1:positive,2:neutral,+,0.033,*0.964,0.003
149,1:positive,1:positive,,*0.624,0.375,0
150,1:positive,1:positive,,*0.818,0.182,0
151,1:positive,2:neutral,+,0.106,*0.821,0.073
152,1:positive,1:positive,,*0.705,0.294,0.001
153,1:positive,2:neutral,+,0.287,*0.711,0.002
154,1:positive,1:positive,,*0.85,0.15,0
155,1:positive,1:positive,,*0.749,0.251,0
156,1:positive,1:positive,,*0.823,0.128,0.049
157,1:positive,3:negative,+,0.066,0.211,*0.724
158,1:positive,2:neutral,+,0.179,*0.723,0.099
159,1:positive,2:neutral,+,0.043,*0.954,0.003
160,1:positive,2:neutral,+,0.034,*0.947,0.018
161,1:positive,1:positive,,*0.839,0.057,0.105
162,1:positive,1:positive,,*0.986,0.006,0.008
163,1:positive,2:neutral,+,0.095,*0.849,0.057
164,1:positive,1:positive,,*0.937,0.023,0.04
165,1:positive,2:neutral,+,0.107,*0.891,0.002
166,1:positive,2:neutral,+,0.445,*0.55,0.005
167,1:positive,1:positive,,*0.988,0,0.012
168,1:positive,2:neutral,+,0.045,*0.951,0.004
169,1:positive,1:positive,,*0.86,0.139,0
170,1:positive,2:neutral,+,0.022,*0.963,0.015
171,1:positive,1:positive,,*0.742,0.251,0.006
172,1:positive,1:positive,,*0.914,0.086,0
173,1:positive,1:positive,,*0.983,0.01,0.006
174,1:positive,1:positive,,*0.844,0.153,0.003
175,1:positive,2:neutral,+,0.365,*0.635,0
176,3:negative,2:neutral,+,0.028,*0.51,0.462
177,3:negative,1:positive,+,*0.905,0.067,0.027
178,3:negative,2:neutral,+,0.009,*0.879,0.113
179,3:negative,3:negative,,0,0.35,*0.65
180,3:negative,3:negative,,0.106,0.205,*0.689
181,3:negative,3:negative,,0.055,0.051,*0.894
182,3:negative,3:negative,,0.022,0.288,*0.69
183,3:negative,2:neutral,+,0.366,*0.629,0.005
184,3:negative,1:positive,+,*0.69,0.004,0.306
185,3:negative,2:neutral,+,0.021,*0.58,0.399
186,3:negative,2:neutral,+,0.006,*0.729,0.265
187,3:negative,3:negative,,0.081,0.42,*0.5
188,3:negative,3:negative,,0.002,0.323,*0.676
189,3:negative,3:negative,,0.122,0.339,*0.539
190,3:negative,3:negative,,0.003,0.487,*0.51
191,3:negative,3:negative,,0.107,0.084,*0.81
192,3:negative,3:negative,,0.035,0.011,*0.954
193,3:negative,3:negative,,0.003,0.205,*0.791
194,3:negative,2:neutral,+,0.005,*0.648,0.347
195,3:negative,1:positive,+,*0.56,0.042,0.398
196,3:negative,3:negative,,0.012,0.484,*0.504
197,3:negative,3:negative,,0.003,0.015,*0.982
198,3:negative,3:negative,,0.004,0.063,*0.933
199,3:negative,3:negative,,0.007,0.09,*0.902
200,3:negative,3:negative,,0.185,0.007,*0.808
201,3:negative,3:negative,,0.17,0.116,*0.713
202,3:negative,1:positive,+,*0.956,0.014,0.03
203,3:negative,2:neutral,+,0.005,*0.952,0.043
204,3:negative,1:positive,+,*0.689,0.276,0.035
205,3:negative,1:positive,+,*0.769,0.191,0.04
206,3:negative,2:neutral,+,0.028,*0.622,0.35
207,3:negative,3:negative,,0.026,0.047,*0.926
208,3:negative,2:neutral,+,0.099,*0.856,0.045
209,3:negative,3:negative,,0.075,0.09,*0.835
210,3:negative,3:negative,,0.028,0.204,*0.768
211,3:negative,3:negative,,0.01,0.412,*0.578
212,3:negative,2:neutral,+,0.02,*0.789,0.191
213,3:negative,3:negative,,0.001,0.068,*0.931
214,3:negative,3:negative,,0.001,0.43,*0.57
215,3:negative,3:negative,,0.377,0.131,*0.492
216,3:negative,1:positive,+,*0.662,0.194,0.144
217,3:negative,3:negative,,0.037,0.173,*0.789
218,3:negative,3:negative,,0.03,0.264,*0.706
219,3:negative,3:negative,,0.001,0.219,*0.78
220,3:negative,3:negative,,0.136,0.157,*0.707
221,3:negative,2:neutral,+,0.112,*0.847,0.041
222,3:negative,2:neutral,+,0.002,*0.513,0.485
223,3:negative,2:neutral,+,0.015,*0.689,0.296
224,3:negative,3:negative,,0.296,0.025,*0.679
225,3:negative,3:negative,,0.47,0.003,*0.527
226,3:negative,3:negative,,0.202,0.002,*0.796
227,3:negative,2:neutral,+,0.024,*0.813,0.163
228,3:negative,2:neutral,+,0.001,*0.825,0.174
229,3:negative,3:negative,,0.187,0.365,*0.448
230,3:negative,1:positive,+,*0.79,0.117,0.094
231,3:negative,2:neutral,+,0.067,*0.49,0.442
232,3:negative,1:positive,+,*0.544,0.016,0.44
233,3:negative,2:neutral,+,0.14,*0.809,0.051
234,3:negative,2:neutral,+,0.203,*0.699,0.098
235,3:negative,3:negative,,0.148,0.016,*0.836
236,3:negative,3:negative,,0.008,0.026,*0.967
237,3:negative,2:neutral,+,0.067,*0.917,0.017
238,3:negative,2:neutral,+,0.166,*0.68,0.154
239,3:negative,3:negative,,0.314,0.34,*0.346
240,3:negative,3:negative,,0.001,0.018,*0.981
241,3:negative,3:negative,,0.056,0.273,*0.672
242,3:negative,3:negative,,0.039,0.357,*0.604
243,3:negative,2:neutral,+,0.099,*0.833,0.069
244,3:negative,2:neutral,+,0.104,*0.784,0.112
245,3:negative,2:neutral,+,0.078,*0.604,0.318
246,3:negative,3:negative,,0.496,0.002,*0.502
247,3:negative,3:negative,,0.005,0.009,*0.986
248,3:negative,1:positive,+,*0.731,0.247,0.022
249,3:negative,3:negative,,0.411,0.093,*0.497
250,3:negative,2:neutral,+,0.018,*0.783,0.199
251,3:negative,3:negative,,0.005,0.328,*0.667
252,2:neutral,2:neutral,,0.015,*0.976,0.009
253,2:neutral,2:neutral,,0.054,*0.94,0.005
254,2:neutral,2:neutral,,0.067,*0.905,0.028
255,2:neutral,2:neutral,,0.139,*0.786,0.075
256,2:neutral,1:positive,+,*0.868,0.128,0.004
257,2:neutral,2:neutral,,0.016,*0.978,0.006
258,2:neutral,2:neutral,,0.006,*0.989,0.005
259,2:neutral,2:neutral,,0.052,*0.88,0.068
260,2:neutral,2:neutral,,0.375,*0.621,0.004
261,2:neutral,1:positive,+,*0.552,0.437,0.011
262,2:neutral,2:neutral,,0.128,*0.86,0.012
263,2:neutral,2:neutral,,0.002,*0.757,0.241
264,2:neutral,1:positive,+,*0.681,0.213,0.107
265,2:neutral,2:neutral,,0.054,*0.94,0.006
266,2:neutral,2:neutral,,0.054,*0.937,0.009
267,2:neutral,2:neutral,,0.131,*0.862,0.007
268,2:neutral,2:neutral,,0.004,*0.982,0.014
269,2:neutral,2:neutral,,0.059,*0.934,0.006
270,2:neutral,2:neutral,,0.017,*0.904,0.078
271,2:neutral,1:positive,+,*0.524,0.455,0.021
272,2:neutral,3:negative,+,0.042,0.202,*0.757
273,2:neutral,2:neutral,,0.083,*0.892,0.025
274,2:neutral,3:negative,+,0.078,0.329,*0.593
275,2:neutral,2:neutral,,0.02,*0.795,0.185
276,2:neutral,2:neutral,,0.407,*0.581,0.012
277,2:neutral,2:neutral,,0.489,*0.49,0.021
278,2:neutral,2:neutral,,0.058,*0.926,0.016
279,2:neutral,2:neutral,,0.088,*0.826,0.085
280,2:neutral,2:neutral,,0.026,*0.947,0.027
281,2:neutral,2:neutral,,0.025,*0.963,0.012
282,2:neutral,2:neutral,,0.011,*0.801,0.188
283,2:neutral,2:neutral,,0.131,*0.863,0.007
284,2:neutral,1:positive,+,*0.594,0.088,0.317
285,2:neutral,3:negative,+,0.08,0.156,*0.764
286,2:neutral,1:positive,+,*0.999,0.001,0
287,2:neutral,2:neutral,,0.066,*0.763,0.17
288,2:neutral,2:neutral,,0.077,*0.905,0.019
289,2:neutral,1:positive,+,*0.711,0.284,0.005
290,2:neutral,2:neutral,,0.105,*0.885,0.01
291,2:neutral,2:neutral,,0.03,*0.932,0.038
292,2:neutral,3:negative,+,0.143,0.18,*0.677
293,2:neutral,2:neutral,,0.001,*0.73,0.269
294,2:neutral,2:neutral,,0.044,*0.955,0.001
295,2:neutral,1:positive,+,*0.76,0.24,0
296,2:neutral,2:neutral,,0.006,*0.99,0.004
297,2:neutral,2:neutral,,0.016,*0.854,0.13
298,2:neutral,2:neutral,,0.015,*0.98,0.005
299,2:neutral,2:neutral,,0.036,*0.954,0.01
300,2:neutral,2:neutral,,0.146,*0.793,0.061
301,2:neutral,2:neutral,,0.031,*0.857,0.112
302,2:neutral,2:neutral,,0.259,*0.715,0.026
303,2:neutral,2:neutral,,0.056,*0.863,0.081
304,2:neutral,1:positive,+,*0.542,0.452,0.006
305,2:neutral,2:neutral,,0.479,*0.513,0.008
306,2:neutral,2:neutral,,0.035,*0.917,0.048
307,2:neutral,2:neutral,,0.004,*0.989,0.006
308,2:neutral,3:negative,+,0.016,0.33,*0.654
309,2:neutral,2:neutral,,0.006,*0.983,0.011
310,2:neutral,2:neutral,,0.044,*0.896,0.06
311,2:neutral,2:neutral,,0.156,*0.843,0.002
312,2:neutral,2:neutral,,0.094,*0.905,0
313,2:neutral,2:neutral,,0.013,*0.98,0.007
314,2:neutral,2:neutral,,0.068,*0.881,0.051
315,2:neutral,1:positive,+,*0.565,0.422,0.013
316,2:neutral,2:neutral,,0.006,*0.975,0.019
317,2:neutral,1:positive,+,*0.714,0.268,0.018
318,2:neutral,2:neutral,,0.029,*0.958,0.012
319,2:neutral,2:neutral,,0.239,*0.569,0.192
320,2:neutral,2:neutral,,0.067,*0.926,0.007
321,2:neutral,2:neutral,,0.216,*0.784,0
322,2:neutral,2:neutral,,0.039,*0.944,0.017
323,2:neutral,1:positive,+,*0.804,0.126,0.07
324,2:neutral,2:neutral,,0.038,*0.648,0.314
325,2:neutral,1:positive,+,*0.986,0.005,0.009
326,2:neutral,2:neutral,,0.191,*0.721,0.088
327,2:neutral,2:neutral,,0.025,*0.952,0.023
328,2:neutral,1:positive,+,*0.981,0.002,0.017
329,2:neutral,2:neutral,,0.026,*0.904,0.07
330,2:neutral,1:positive,+,*0.65,0.003,0.347
331,2:neutral,2:neutral,,0.105,*0.578,0.318
332,2:neutral,2:neutral,,0.016,*0.961,0.023
333,2:neutral,2:neutral,,0.016,*0.924,0.06
334,2:neutral,2:neutral,,0.028,*0.889,0.082
335,2:neutral,2:neutral,,0.031,*0.838,0.131
336,2:neutral,1:positive,+,*0.557,0.435,0.008
337,2:neutral,2:neutral,,0.038,*0.949,0.013
338,2:neutral,2:neutral,,0.02,*0.971,0.009
339,2:neutral,2:neutral,,0.017,*0.98,0.003
340,2:neutral,1:positive,+,*0.573,0.426,0.001
341,2:neutral,2:neutral,,0.001,*0.999,0
342,2:neutral,1:positive,+,*0.577,0.415,0.008
343,2:neutral,1:positive,+,*0.548,0.44,0.012
344,2:neutral,2:neutral,,0.153,*0.806,0.041
345,2:neutral,2:neutral,,0.203,*0.79,0.007
346,2:neutral,2:neutral,,0.067,*0.932,0.001
347,2:neutral,2:neutral,,0.021,*0.979,0
348,2:neutral,1:positive,+,*0.668,0.224,0.108
349,2:neutral,1:positive,+,*0.909,0.053,0.038
350,2:neutral,2:neutral,,0.028,*0.961,0.012
351,2:neutral,2:neutral,,0.415,*0.58,0.004
352,2:neutral,2:neutral,,0.121,*0.866,0.013
353,2:neutral,2:neutral,,0.075,*0.921,0.004
354,2:neutral,2:neutral,,0.11,*0.766,0.124
355,2:neutral,2:neutral,,0.039,*0.956,0.005
356,2:neutral,3:negative,+,0.306,0.021,*0.673
357,2:neutral,2:neutral,,0.011,*0.956,0.033
358,2:neutral,2:neutral,,0.162,*0.835,0.003
359,2:neutral,3:negative,+,0.232,0.369,*0.398
360,2:neutral,2:neutral,,0.296,*0.703,0
361,2:neutral,2:neutral,,0.085,*0.905,0.01
362,2:neutral,2:neutral,,0.021,*0.764,0.216
363,2:neutral,2:neutral,,0.007,*0.853,0.14
364,2:neutral,2:neutral,,0.086,*0.894,0.02
365,2:neutral,2:neutral,,0,*0.989,0.01
366,2:neutral,1:positive,+,*0.5,0.315,0.185
367,2:neutral,1:positive,+,*0.889,0.032,0.079
368,2:neutral,2:neutral,,0.015,*0.981,0.005
369,2:neutral,2:neutral,,0.002,*0.996,0.002
370,2:neutral,2:neutral,,0.255,*0.744,0.001
371,2:neutral,2:neutral,,0.025,*0.755,0.22
372,2:neutral,2:neutral,,0.041,*0.704,0.255
373,2:neutral,2:neutral,,0.047,*0.802,0.152
374,2:neutral,2:neutral,,0.041,*0.947,0.013
375,2:neutral,2:neutral,,0.029,*0.931,0.04
376,2:neutral,2:neutral,,0.069,*0.915,0.016
377,2:neutral,2:neutral,,0.168,*0.661,0.172
378,2:neutral,2:neutral,,0.19,*0.775,0.035
379,2:neutral,1:positive,+,*0.949,0.051,0
380,2:neutral,2:neutral,,0.145,*0.855,0
381,2:neutral,1:positive,+,*0.719,0.103,0.178
382,2:neutral,2:neutral,,0.011,*0.94,0.049
383,2:neutral,2:neutral,,0.48,*0.504,0.016
384,2:neutral,2:neutral,,0.012,*0.982,0.006
385,2:neutral,2:neutral,,0.154,*0.749,0.097
386,2:neutral,2:neutral,,0.023,*0.945,0.033
387,2:neutral,2:neutral,,0.064,*0.883,0.053
388,2:neutral,1:positive,+,*0.501,0.451,0.048
389,2:neutral,2:neutral,,0.148,*0.831,0.02
390,2:neutral,2:neutral,,0.108,*0.877,0.016
391,2:neutral,1:positive,+,*0.708,0.255,0.037
392,2:neutral,2:neutral,,0.215,*0.772,0.013
393,2:neutral,2:neutral,,0.003,*0.974,0.023
394,2:neutral,2:neutral,,0.051,*0.949,0.001
395,2:neutral,2:neutral,,0.103,*0.558,0.339
396,2:neutral,2:neutral,,0.128,*0.481,0.39
397,2:neutral,2:neutral,,0.058,*0.938,0.005
398,2:neutral,1:positive,+,*0.577,0.419,0.004
399,2:neutral,2:neutral,,0.011,*0.968,0.022
400,2:neutral,2:neutral,,0.062,*0.923,0.015
401,2:neutral,1:positive,+,*0.832,0.145,0.023
402,2:neutral,2:neutral,,0.059,*0.936,0.005
403,2:neutral,2:neutral,,0.398,*0.6,0.002
404,2:neutral,2:neutral,,0,*0.896,0.103
405,2:neutral,2:neutral,,0.053,*0.94,0.007
406,2:neutral,2:neutral,,0.079,*0.868,0.053
407,2:neutral,3:negative,+,0.356,0.248,*0.397
408,2:neutral,2:neutral,,0.049,*0.943,0.008
409,2:neutral,2:neutral,,0.256,*0.728,0.016
410,2:neutral,1:positive,+,*0.647,0.351,0.002
411,2:neutral,2:neutral,,0.384,*0.616,0
412,2:neutral,2:neutral,,0.072,*0.83,0.099
413,2:neutral,2:neutral,,0.184,*0.814,0.002
414,2:neutral,2:neutral,,0.173,*0.8,0.026
415,2:neutral,2:neutral,,0.158,*0.823,0.019
416,2:neutral,2:neutral,,0.061,*0.933,0.007
417,2:neutral,2:neutral,,0.043,*0.954,0.003
418,2:neutral,2:neutral,,0.008,*0.983,0.009
419,2:neutral,2:neutral,,0.22,*0.764,0.015
420,2:neutral,3:negative,+,0.015,0.155,*0.831
421,2:neutral,2:neutral,,0.124,*0.875,0.001
422,2:neutral,2:neutral,,0.213,*0.776,0.011
423,2:neutral,2:neutral,,0.074,*0.925,0
424,2:neutral,2:neutral,,0.353,*0.557,0.09
425,2:neutral,2:neutral,,0.023,*0.976,0.001
426,2:neutral,2:neutral,,0.022,*0.969,0.009
427,2:neutral,2:neutral,,0.016,*0.977,0.007
428,2:neutral,2:neutral,,0.141,*0.858,0.002
429,2:neutral,2:neutral,,0.03,*0.917,0.053
430,2:neutral,2:neutral,,0.076,*0.923,0.001
431,2:neutral,2:neutral,,0.01,*0.985,0.005
432,2:neutral,2:neutral,,0.022,*0.577,0.401
433,2:neutral,2:neutral,,0.006,*0.984,0.009
434,2:neutral,2:neutral,,0.046,*0.924,0.03
435,2:neutral,2:neutral,,0.105,*0.858,0.037
436,2:neutral,2:neutral,,0.007,*0.964,0.028
437,2:neutral,2:neutral,,0.024,*0.97,0.006
438,2:neutral,2:neutral,,0.391,*0.429,0.18
439,2:neutral,1:positive,+,*0.557,0.379,0.065
440,2:neutral,2:neutral,,0.065,*0.932,0.003
441,2:neutral,1:positive,+,*0.574,0.41,0.016
442,2:neutral,2:neutral,,0.066,*0.929,0.005
443,2:neutral,3:negative,+,0.014,0.116,*0.87
444,2:neutral,2:neutral,,0.029,*0.945,0.027
445,2:neutral,1:positive,+,*0.763,0.221,0.016
446,2:neutral,1:positive,+,*0.562,0.379,0.058
447,2:neutral,1:positive,+,*0.614,0.234,0.151
448,2:neutral,3:negative,+,0.054,0.022,*0.924
449,2:neutral,2:neutral,,0.391,*0.604,0.005
450,2:neutral,2:neutral,,0.082,*0.914,0.004
451,2:neutral,2:neutral,,0.146,*0.854,0
452,2:neutral,2:neutral,,0.13,*0.866,0.003
453,2:neutral,2:neutral,,0.115,*0.796,0.088
454,2:neutral,3:negative,+,0.012,0.006,*0.981
455,2:neutral,1:positive,+,*0.558,0.4,0.043
456,2:neutral,1:positive,+,*0.931,0.041,0.029
457,2:neutral,2:neutral,,0.474,*0.525,0.001
458,2:neutral,2:neutral,,0.38,*0.493,0.128
459,2:neutral,2:neutral,,0.075,*0.924,0.001
460,2:neutral,2:neutral,,0.11,*0.7,0.189
461,2:neutral,1:positive,+,*0.62,0.379,0.001
462,2:neutral,2:neutral,,0.002,*0.52,0.477
463,2:neutral,3:negative,+,0.154,0.401,*0.445
464,2:neutral,2:neutral,,0.166,*0.831,0.003
465,2:neutral,2:neutral,,0.022,*0.959,0.018
466,2:neutral,2:neutral,,0.005,*0.681,0.314
467,2:neutral,2:neutral,,0.006,*0.841,0.153
468,2:neutral,2:neutral,,0.133,*0.866,0.001
469,2:neutral,2:neutral,,0.016,*0.963,0.021
470,2:neutral,2:neutral,,0.222,*0.776,0.002
471,2:neutral,2:neutral,,0.129,*0.87,0.001
472,2:neutral,3:negative,+,0.067,0.094,*0.839
473,2:neutral,1:positive,+,*0.727,0.063,0.209
474,2:neutral,2:neutral,,0.171,*0.813,0.016
475,2:neutral,2:neutral,,0.004,*0.991,0.006
476,2:neutral,2:neutral,,0.31,*0.673,0.017
477,2:neutral,2:neutral,,0.034,*0.96,0.007
478,2:neutral,2:neutral,,0.125,*0.865,0.01
479,2:neutral,2:neutral,,0.11,*0.832,0.057
480,2:neutral,2:neutral,,0.192,*0.767,0.041
481,2:neutral,1:positive,+,*0.569,0.288,0.143
482,2:neutral,2:neutral,,0.013,*0.824,0.164
483,2:neutral,2:neutral,,0.254,*0.744,0.002
484,2:neutral,2:neutral,,0.043,*0.954,0.003
485,2:neutral,2:neutral,,0.061,*0.938,0.001
486,2:neutral,2:neutral,,0.051,*0.935,0.014
487,2:neutral,2:neutral,,0.108,*0.873,0.019
488,2:neutral,2:neutral,,0.004,*0.964,0.031
489,2:neutral,2:neutral,,0.175,*0.465,0.36
490,2:neutral,2:neutral,,0.015,*0.936,0.05
491,2:neutral,1:positive,+,*0.55,0.449,0.001
492,2:neutral,2:neutral,,0.079,*0.901,0.021
493,2:neutral,2:neutral,,0.064,*0.934,0.002
494,2:neutral,2:neutral,,0.057,*0.943,0
495,2:neutral,2:neutral,,0.024,*0.924,0.052
496,2:neutral,2:neutral,,0.078,*0.887,0.036
497,2:neutral,2:neutral,,0.258,*0.72,0.022
498,2:neutral,1:positive,+,*0.731,0.268,0.001
499,2:neutral,2:neutral,,0.049,*0.826,0.126
500,2:neutral,2:neutral,,0.043,*0.945,0.012
1,1:positive,1:positive,,*0.913,0.078,0.01
2,1:positive,1:positive,,*0.608,0.391,0.001
3,1:positive,2:neutral,+,0.057,*0.866,0.076
4,1:positive,1:positive,,*0.956,0.044,0
5,1:positive,1:positive,,*0.951,0.039,0.009
6,1:positive,2:neutral,+,0.059,*0.842,0.099
7,1:positive,1:positive,,*0.523,0.044,0.433
8,1:positive,1:positive,,*0.575,0.314,0.11
9,1:positive,1:positive,,*0.956,0.004,0.04
10,1:positive,2:neutral,+,0.181,*0.75,0.069
11,1:positive,2:neutral,+,0.016,*0.982,0.002
12,1:positive,1:positive,,*0.973,0.011,0.016
13,1:positive,1:positive,,*0.644,0.356,0
14,1:positive,1:positive,,*0.762,0.236,0.002
15,1:positive,1:positive,,*0.739,0.018,0.242
16,1:positive,3:negative,+,0.077,0.008,*0.914
