content,Class,cluster
'Blog Post: MTV\'s \\\"\"Teen Mom 2\\\"\" Returns for an Intense Third Season with Chelsea, Jenelle, Kailyn and Leah on Monday,... http://t.co/mgMHsfvu',neutral,cluster8
'The Business Leader\'s Award ceremony will be held during the @wef annual meeting in Davos on the  25 January 2013! http://t.co/YI4r8UFM',neutral,cluster5
'@elifyk1 Hi Elif  Greetings from USA midwest  How is school going?  Happy Turkish Republic Day!  I can\'t wait for Nov 8 #NewGlee Yes!',positive,cluster2
'Hoping to look FIT tomorrow on the Jeremy Kyle show #ITVFashion',positive,cluster10
'@Jordon_Atkins me you and joe gone chill Saturday of i come tho',neutral,cluster6
'\\\"\"Obma fails 2unite us, he divides us by sex, color,party,age, wealth Nevada\'s 1st Latino governor votes early for Romney, predicts GOP win\\\"\"',negative,cluster3
'Grammys concert pays moving tribute to Whitney Houston: Whitney Houston was given a final sendoff by the Grammys on Thursday as Halle...',positive,cluster9
'Calling all voters, I\'m calling on Nevada,Florida,Ohio,Tuesday night is the night u guys will i repeat will shine for the president lets go!',neutral,cluster10
'We tallied up the votes and are announcing the winners for Calling All Communities! Tune in http://t.co/XmaXMLCQ on Nov 1st at 11am (CST)',neutral,cluster9
'It\'s Radio 1 Rocks next -  week starting off with a Live lounge on @fearnecotton\'s show with Bullet for my Valentine on Monday',neutral,cluster10
'Drew Peterson is #Untouchable no more! Check out these movie photos before you watch on Sun at 7/6c: http://t.co/LT9WUkOD',positive,cluster3
'@HotspurRelated im just a 19 year old still on loan for the 3rd time at coventry 79 overall hopefully when i return bale will still be ther',neutral,cluster7
'Halloween may be the second worst holiday, right after valentine\'s day',negative,cluster2
'PUMPED to open the season tomorrow night against Georgetown!  Women\'s Preview: http://t.co/1k3PAK3C | Men\'s Preview: http://t.co/n5oFat9V',positive,cluster8
'Just found a piece of candy that may have been injected with something. #Why',negative,cluster6
'Apple shakeup Mobile software boss eased out: Apple Inc. CEO Tim Cook on Monday pushed out the powerful head of the company&#039;s mo...',neutral,cluster5
'Somehow I managed to \\\"\"lose\\\"\" my princess leia bra on Saturday. I\'m going to Noel Gallagher as \\\"\"Glock at Phish\\\"\" ie jorts&tank. @custymcnoob',neutral,cluster10
'@docbungle I may relent and get one myself, but I hope it doesn\'t come to that. Hopefully all the decent apps will get ported to android',neutral,cluster5
'Android 4.2 Camera app with Photo Sphere now available for Galaxy Nexus: Introduced on Monday, Android 4.2 bring... http://t.co/yl8QQP0R',neutral,cluster5
'SAEED: #NowPlaying: BEP, Ricky Martin and KT Tunstall! Great songs to get you through your Sunday! Hate the rain!! http://t.co/c9PmolGw',positive,cluster7
'@juliecrawley25. @GininjaDesign. @Donna_Butlin. Nope, it\'s just Camden, eating Greek food with a pumpkin... Just another Wednesday.',neutral,cluster2
'Are you ready to shop The New Collection from H&M tomorrow?? The Grey Concept from H&M http://t.co/jQE4RJYb #fashion #shopping #highstreet',neutral,cluster9
'FAQ: What is \'skeuomorphic design\' and the executive shakeup at Apple: SAN FRANCISCO, CA - MARCH 07:  Apple CEO ... http://t.co/YCvoPl98',neutral,cluster5
'Fact of the day; Halloween night is Papa John\'s second busiest night of the year behind Super Bowl Sunday.',neutral,cluster10
'@nicoleandrews_ No one can hold a candle to queen coco. If she\'s still doing shows in August for my wedding we HAVE to go!!!',positive,cluster9
'Omg. Ricky Martin may be gay but he is one fine ass gay man.',positive,cluster10
'@lenakoncha the Clippers are playing the Cavaliers on Monday and are having a night to honor Israel! :) wish you were in LA STILL.',positive,cluster1
'On the bright side tomorrow\'s CHOCOLATE DAY #getexcited',positive,cluster2
'Um I just learned that Sunday is NATIONAL CHOCOLATE DAY. I\'m totally taking advantage of that.',positive,cluster2
'To all 90\'s ladies, see you on 15th Dec - Axl Rose. @selzky @trisiska_putri @InaDio (teaser biar gak kecewa) http://t.co/hQZNzmZX',neutral,cluster8
'Noel Gallagher: \\\"\"Musicians are fucking idiots.\\\"\" - Yeah, Brian May - he\'s an idiot... an idiot who just so happens to be a professor?',negative,cluster10
'Vow is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday. http://t.co/FmoCg7YK',neutral,cluster3
'@HOPE_forHippies Hell yea lmfaoo , & see you tomorrow Asia baby (;',positive,cluster10
'@Real_Liam_Payne I wanted you to know that here in Argentina is going to make a directioner fest 10 November te Amo TE AMO te amo!',neutral,cluster10
'Its November already.. Christmas will be here soon, then New Year, then Valentine\'s day then GRADUATION?!?!',neutral,cluster2
'#NowPlaying Michael Jackson - She\'s Out of My Life (Live At Wembley July 16. http://t.co/vxRYuADn L.O.V.E it! #MjTunes',positive,cluster2
'Niggas be on the LAKERS DICK...we still gon finish damn near first seed...while yo team be struggling for the 8th spot',negative,cluster1
'@RediTlhabi @StevenB7777 OCTOBER  people have principles..& argue passionately for them, about them & ACT on them.  Ghandi, Sadat, ADT, me!',positive,cluster5
'@amberrblack amber fantastic news!!! We will reunite with Barbara and jenelle on November 21st when teen mom 2 premieres!!',positive,cluster5
'I need another Viv necklace... May buy myself one for Valentines day #nojoke',neutral,cluster2
'I\'m in the bathroom bumping \\\"\"Niggas In Paris\\\"\" Crunk ass hell like it\'s my 1st time hearing it this song will never get old lol',positive,cluster10
'Just got tickets to see Muse in Florida. That, combined with the Grammys two weeks prior, equals a really busy February for Ruby and myself.',neutral,cluster9
'Welcome Nick J! :\\\"\") \\\"\"@nickjonas\\\"\"  In Manila! So excited for the show on Friday.',positive,cluster10
'Battle for the 17th banner: Royal Rumble basketball edition',neutral,cluster8
'no matter what anyone says...Ray Lewis may be the best defensive player to ever play the game. Hes got heart and hes got anger.',positive,cluster1
'4th Album out #RED, #20MillionSwifties, 6 Grammy Awards, 10 AMAs, 13 BMI Awards! Reigning Entertainer of the Year ACM!  #6YearsTaylorSwift',positive,cluster7
'Smooches from Fido: Yea or Nay? - July 6th was International Kissing Day (of the human sort). Later in the month, Ca... http://t.co/ctBrbIFt',neutral,cluster2
'It\'s midnight on the east coast which means its @nickjonas birthday! HAPPY 20th BIRTHDAY NICK J!!!!!!!!!! <333',positive,cluster2
'Apple CEO apologizes for error-ridden new map app: Apple CEO Tim Cook apologized Friday for the company\'s error-ridden new mobile map...',negative,cluster5
'Monta Ellis / Ellis provided just five points on 2-of-13 shooting Thursday http://t.co/AErfHHuK #nba #playersnews',neutral,cluster1
'When I teach a basketball in my own school, we\'re gonna spend the 1st day watching Larry Bird videos, & the rest will take care of itself.',neutral,cluster10
'AT&T offers free cloud storage for iOS and Android AT&T on Thursday announced a new service it calls AT&T Locker th... http://t.co/7yoVkmMX',neutral,cluster5
'We are here @NBCofChicago for our 12th Anniversary celebration.  You still have time to make it - 6620 S. King Dr',positive,cluster6
'@KarimAndSugar I told you Shane would get his 5th-star on Rivals before Signing Day. @Taylor_McNeill7',neutral,cluster2
'@mysticvalley Mitch are you free on Sunday to bale leaves for an hour?  If not no big deal  you can have them for animals',neutral,cluster8
'@stevefekete @altberry @ferlazz @jimmymcgorman @rodneyondrums me heart will explode, i need some new about avril\'s 4th album',neutral,cluster7
'Love how I skipped every category of the NTA\'s besides the soaps. Couldn\'t give half a fuck if everything else went off the air tomorrow.',positive,cluster10
'@starky88 @nfl_uk Was in on sat and they only had the Ray Lewis home jersey.  They didn\'t have a lot either.',negative,cluster10
'New York Giants: Game-by-Game Predictions for the 2nd Half of the Season http://t.co/yK9VTjcs',neutral,cluster1
'C\'mon c\'mon does sound like Queen\'s we will rock you somehow...',neutral,cluster10
'Mashed out to \\\"\"Niggas In Paris\\\"\" in the club while in Paris... as cliche as it may sound. #WeOutHere',neutral,cluster10
'Pick the Chelsea team to play Swansea - Chelsea\'s focus now turns back to the Premier League and on Saturday we make... http://t.co/6Az8JiIz',neutral,cluster8
'@MarkUkLeaf I just had a look and it seems Nash to Davos is a done deal along with Joe Thornton. I may have to pay a visit...',neutral,cluster1
'My mom just texted me reminding me that Grammys birthdays tomorrow.. HOW COULD I EVER FORGET? #BiggestDayOfTheYear',positive,cluster10
'@ariaclemente Wow! you\'re also a percy jackson fan! :-) The 4th book of Heroes of Olympus will be entitled \\\"\"House of Hades\\\"\" @camphalfblood',positive,cluster6
'Esperance will be without star player Youssef Msakni for the first leg of the Champions League final against Al Ahly on Saturday. #AFRICA',negative,cluster8
'@chrischris__  The Sun: Paolo Di Canio says beating Aston Villa tonight would be like having sex with Madonna. #legend',negative,cluster3
'OBVIOUSLY, i am not a fan of Dream High 2 and i haven\'t even watched it! well, i watched the 1st ep,that\'s where i heard that song!^^',negative,cluster10
'Black History Fact: Marsalis is the 1st and only artist to win both classical and jazz Grammy Awards in one year, and to repeat the next yr',positive,cluster7
'Watching David Letterman with no audience but playing like they are still there is the 2nd most brilliant thing I\'ve seen tonight.',positive,cluster10
'Gov. Mitch Daniels will announce his Indiana Supreme Court pick at 10 a.m. Will the 3rd time be the charm for a female member of the panel?',neutral,cluster8
'Goodnight everyone!!! Talk to you all tomorrow :D I shall leave you with Harry Styles -A http://t.co/fC1ZKoW7',neutral,cluster10
'Most common nights to order pizza: NYE, Jan 1, day before Thanksgiving, Super Bowl Sunday, Halloween. http://t.co/3j3QiL3j',neutral,cluster2
'The Grey and Yellow Gold Wedding Puzzle is now up with the first piece being a unique two-tone dress by @shopbop! http://t.co/1RYso3ZZ',positive,cluster6
'listening to Kendrick Lamar.....I don\'t even want to get a hair cut tomorrow!!!',negative,cluster1
'HARAKAH: Iran army monitoring all ships in Gulf: TEHRAN, Oct 28: A senior commander of the Islamic Revolution Gu... http://t.co/hbdrQP3P',neutral,cluster8
'HT: Norwich 0-0 #Spurs. We\'ve edged the 1st half without creating any clear cut chances. Bale\'s had a couple of decent long range efforts.',neutral,cluster1
'Guys, the Marijuana law in Colorado, Oregon, and Washington can pass this Tuesday. #HighHopes',positive,cluster10
'Breezin\' won the Best Pop Instrumental Performance at the 19th Grammy Awards',positive,cluster7
'\\\"\"Pacino is going to play Joe Paterno.  This is the 2nd time he has starred in a film, that has the line \'say hello to my little friend\\\"\"- SNL',neutral,cluster6
'Not wearing make up to Dublin tomorrow until I\'m getting ready for the party. Help.',negative,cluster10
'Snow may fall for parts of CNY the next few days. Find out where the best chances will be at 6:42 am on TV & online: http://t.co/F0Kb0gqD',neutral,cluster10
'It seem like Austin Rivers is tryin to had to get a bucket. I feel em tho my 1st game in the league I was trying hard too',neutral,cluster1
'Cofield draws leadoff walk in top 4th. Zaharion at the plate.',neutral,cluster1
'@BieberGomezTour aww my celebrity day is this thursday also, going as Jennifer Hudson though :)',neutral,cluster9
'@MehDusta I MISS YOU AND I BETTER GET A JUGE KISS AND HUG TOMORROW NIGHT (because you WILL BE at joe\'s :))',positive,cluster6
'Took me ten clicks to figure out where to early vote in Colorado. That site doesn\'t say what you need to bring. C\'mon, @ColoSecofState',negative,cluster3
'Sat down to watch Michael Jackson this is it on DVD xx',neutral,cluster10
'On the set of the Axis of the Nigerian Economy, airing every tuesday 8:30pm on NTA international (DSTV) http://t.co/qFvON8Uj',neutral,cluster4
'Text from my dad: \\\"\"you like Charles Dickens\\\"\" 1) obvs looking at my amazon wish list (too late for Sunday) 2) why th surprise?!',positive,cluster2
'Upset alert in ACC men\'s soccer: #1 Maryland down 4-2 to Wake Forest late in the 2nd...AND down a man after an earlier red card.',negative,cluster8
'really bored of this host on Super Sunday doing nothing but talk and rave about Man Utd #BiasPrick',negative,cluster10
'I may have missed out seeing Noel Fielding and Rich Fulcher today, but I did just see Tom Tilley! #samsimmons',neutral,cluster6
'Thankfully he\'s in Germany now. And comes home in January. Still dangerous though.',negative,cluster10
'Looper was amazing!!! Now to the theatre to see Simon Callow\'s \'The Mystery of Charles Dickens\' ...loving my Wednesday off work :-)',positive,cluster2
'If you\'re an October baby, then Happy Valentine\'s Day to your folks ... They have an annual memory',positive,cluster2
'Negros and nigglettes, all who would like to attend the a$ap rocky concert on  November 17th at starland lemme know tickets are only 25',neutral,cluster9
'Wish Maddie luck next saturday, she has a solo audition for Britain\'s Got Talent! :) ~ Ellie xxxxx',positive,cluster10
'#NFL Victor Cruz went public this month with his desire for a new contract. On Tuesday, the Giants rec... http://t.co/yzl60CHD #FOOTBALL',neutral,cluster1
'\% of Joe Pa masks at Penn State Sat? Or will PSU by allow then in the stadium? Is it bad to wear it? @Espngreeny',neutral,cluster6
'@MeganWitmer that\'s crazy. I\'m more jealous of u going to Joe Pa\'s grave! I was sad Saturday when I walked past where the statue should be:(',negative,cluster10
'Mizzou commemorates its win over Kentucky with a T-shirt. No, really. | Dr. Saturday - Yahoo! Sports http://t.co/2u46BvQ6 #fb',positive,cluster1
'Who should The Rock face for the WWE Title at the Royal Rumble? I just voted #rockpunk would be a 1st to see',neutral,cluster8
'@FruitPunchToday lol that was our only year we may have had a chance at the Superbowl. Now we must wait until Nick Foley',neutral,cluster10
'@Vikingdane1 Thinking a bolt action .30-06 may have to be in the cards for Valentine\'s Day or something.',neutral,cluster2
'Happy Valentine\'s Day!!! @MAziing: Everyday is the 14th!',positive,cluster2
'I have to finish reading Paterno by tomorrow so I can watch football Sunday and Monday and prepare for the #NBA2k13 release #120pagesleft',neutral,cluster10
'@xBecx92 it may be Indian time tonite Becky :-) xx',neutral,cluster6
'Just watched The Campaign with Will Ferrell and Zack Galafianakis... Good fun for a Wednesday. #Hilarious',positive,cluster10
'@sumeetkulkarni Season ends with Superbowl in first week of February.',neutral,cluster10
'@HilciaJSu Your review reminded me I still need 2 read the very 1st Percy Jackson book! Heroes of Olympus is an offshoot series from it?',neutral,cluster6
'Crazy I was in a meeting with an old NBA player that was picked 3rd before Larry Bird',neutral,cluster6
'This Sunday New York Giants are going down. #Steelers',negative,cluster1
'As an introduction to Literature we wrote about The Woman In Black, not something I particulalry want to read, may just cry #ShitMyself',negative,cluster3
'\\\"\"@Ilovedoobz: @Patty_flipping I did, the other new is in today, northern lights......\\\"\" I get payed tomorrow!',neutral,cluster8
'Just finished rehearsing with @DWHY - we are ready for the Kendrick Lamar show tomorrow, shout outs to WVU... http://t.co/d76r8YZH',neutral,cluster1
'I posted 12 photos on Facebook in the album \\\"\"Super Sunday wid Shobhit Bhatia......\\\"\" http://t.co/9DYtiAxO',neutral,cluster7
'I been watching \\\"\"All-Access Kentucky\\\"\" every wed and it has been making me like these young dudes on Kentucky.',neutral,cluster10
'\\\"\"Nick J all day\\\"\" and \\\"\"#30\\\"\" on my powder puff pants. Looks like I\'m gonna be a stud tomorrow under the lights. @L_Starcevich @N_Jeffries13',positive,cluster4
'Roy ... just go ... you\'re a bigger embarassment than Capello and McClaren ... http://t.co/EAsMq1m7',negative,cluster3
'##$$## Black Friday Deals Nikon D3200 24.2 Megapixels Digital SLR Camera with 18-55mm NIKKOR VR Lens, Black & Nikon ... http://t.co/NPMjK8UC',neutral,cluster5
'Han mon dieu le remix de I am the best dans Dream High 2, je meurs XDDD',positive,cluster3
'You do not want to miss this tomorrow night.  RJ is moving to Maryland soon, and we have a truly epic set planned... http://t.co/NItJIA5v',neutral,cluster10
'Don\'t forget Mitch Daniels is going to be on Steven Colbert\'s show Thursday.  Think this will come up as a topic?',neutral,cluster10
'\\\"\"@bline803rasta: Mane I gotta see that Denzel movie tomorrow! Shit look like its gone be a good one\\\"\"ditto. Im going to try to go tomorrow',positive,cluster10
'@BarackObama: I would think you would do that if you are running for POTUS. It may be part of your job someday.',neutral,cluster10
'Grammy and Caleb going Freeport tomorrow chalee,',neutral,cluster9
'@kdbowe But how you gon handle it if you are announcing ON SUPER BOWL SUNDAY?!! You might put that gold back in yo grill.',neutral,cluster1
'@Dapper_Dan1988 I have plans to go to CVS before work today and get something.  That may be what I get. I\'m going to quarantine myself today',neutral,cluster10
'iPhone 5: Apple CEO pledges to improve new map app: Apple CEO Tim Cook apologized on Friday for the company\'s er... http://t.co/7dzvgXNz',neutral,cluster5
'Full Moon:Oct 29th. You can read more if you have your Sun Sign in Libra, Scorpio, Sag, Cap, Aqua or Pisces http://t.co/HNgb7Qn3',neutral,cluster9
'Drew Peterson may be convicted, but there is still conflict going on http://t.co/lmqKV7XZ #whenwillitend #localnews #chicago',neutral,cluster3
'@WFAN660 Paterno wouldnt be charged. All hearsay on him and he did do his job (minimal as may be). He reported it. Rest is speculation.',neutral,cluster5
