words,polarity
awkwardness,Negative
ax,Negative
babble,Negative
back#2,Positive
back#5,Positive
backbone,Positive
backer,Positive
backing,Positive
backward,Negative
backwardness,Negative
bad,Negative
badly,Negative
baffle,Negative
bafflement,Negative
bail,Negative
bait,Negative
balk,Negative
ball#5,Positive
ball#6,Positive
balmy,Positive
banal,Negative
bandit,Negative
bane,Negative
banish#1,Negative
banish#2,Negative
banishment,Negative
bankrupt,Negative
bankruptcy,Negative
baptism,Positive
baptize,Positive
bar#4,Negative
barbarian,Negative
barbarous,Negative
bargain,Positive
barren,Negative
barrier,Negative
bashful,Negative
basic#1,Positive
basic#2,Positive
bastard,Negative
battle#1,Negative
battle#2,Negative
battlefield,Negative
beacon,Positive
beastly,Negative
beat#2,Negative
beat#3,Negative
beat#4,Negative
beauteous,Positive
beautify,Positive
beauty,Positive
befit,Positive
befitting,Positive
befriend,Positive
beg,Negative
beggar,Negative
behalf,Positive
behead,Negative
belated,Negative
belie,Negative
belittle,Negative
belligerent,Negative
beloved,Positive
belt#2,Negative
benefactor,Positive
beneficent,Positive
beneficial,Positive
beneficiary,Positive
benefit#1,Positive
benefit#2,Positive
benefit#3,Positive
benevolence,Positive
benevolent,Positive
benign,Positive
bequeath,Positive
bereave,Negative
bereavement,Negative
bereft,Negative
berserk,Negative
beseech,Negative
beset,Negative
besiege,Negative
best,Positive
bestow,Positive
betray,Negative
betrayal,Negative
betroth,Positive
betrothal,Positive
better#1,Positive
better#2,Positive
beware,Negative
bewilder,Negative
bewilderment,Negative
bit#2,Negative
bitchy,Negative
bite#1,Negative
bite#2,Negative
bite#3,Negative
bitter,Negative
bitterness,Negative
bizarre,Negative
blackmail,Negative
blah,Negative
blame#1,Negative
blame#2,Negative
blameless,Positive
bland,Negative
blast#1,Negative
blast#2,Negative
blatant,Negative
bleak,Negative
blemish,Negative
bless#1,Positive
bless#2,Positive
bless#3,Positive
blind#1,Negative
blind#2,Negative
blind#3,Negative
blind#4,Negative
blindness,Negative
bliss,Positive
blissful,Positive
blithe,Positive
block#1,Negative
block#2,Negative
blockhead,Negative
bloodshed,Negative
bloodthirsty,Negative
bloody,Negative
bloom,Positive
blossom,Positive
blow#1,Negative
blow#3,Negative
blunder,Negative
blunt,Negative
blur,Negative
blurt,Negative
board#7,Negative
board#8,Positive
boast,Negative
boastful,Negative
bogus,Negative
boisterous,Negative
boldness,Positive
bolster,Positive
bolt,Negative
bomb#1,Negative
bomb#2,Negative
bombard,Negative
bombardment,Negative
bondage,Negative
bonny,Positive
bonus,Positive
boom,Positive
boost#1,Positive
boost#2,Positive
boot,Negative
bore#1,Negative
bore#5,Negative
bore#6,Negative
boredom,Negative
bother#1,Negative
bother#3,Negative
bothersome,Negative
bound#3,Negative
boundless,Positive
bountiful,Positive
bout,Negative
box#2,Negative
brag,Negative
brainy,Positive
brandish,Negative
brat,Negative
bravado,Negative
brave,Positive
bravery,Positive
brawl,Negative
brazen,Negative
breach,Negative
breadwinner,Positive
break#1,Negative
break#4,Negative
break#5,Negative
breakdown,Negative
bribe,Negative
bright,Positive
brightness,Positive
brilliance,Positive
brilliant,Positive
bristle,Negative
brittle,Negative
broke#3,Negative
broke#5,Negative
broke#6,Negative
broke#7,Negative
broken-hearted,Negative
brood,Negative
brotherhood,Positive
brotherly,Positive
bruise,Negative
brusque,Negative
brutality,Negative
brute,Negative
brutish,Negative
buckle,Negative
bug#2,Negative
bullet,Negative
bum,Negative
bungle,Negative
buoyant,Positive
burden#1,Negative
burden#2,Negative
burdensome,Negative
burglar,Negative
burglary,Negative
burn#1,Negative
burn#2,Negative
burn#3,Negative
burn#4,Negative
bury,Negative
busybody,Negative
butchery,Negative
buy#2,Positive
calamity,Negative
call#4,Positive
callous,Negative
calm#1,Positive
calm#2,Positive
calm#3,Positive
calmness,Positive
cancel,Negative
cancellation,Negative
cancer,Negative
candid,Positive
candor,Positive
cannibal,Negative
cannon,Negative
capability,Positive
capable,Positive
capital#2,Negative
capitalize,Positive
capitulate,Negative
capricious,Negative
capsize,Negative
captivation,Positive
captive,Negative
capture#1,Negative
capture#2,Negative
care#1,Positive
care#2,Positive
careen,Negative
carefree,Positive
careful,Positive
careless,Negative
carelessness,Negative
caress#1,Positive
caress#2,Positive
casual,Positive
casualty,Negative
cataclysm,Negative
catastrophe,Negative
catch#3,Negative
cave#2,Negative
ceaseless,Positive
celebrate,Positive
celebration,Positive
celebrity,Positive
censor,Negative
censorship,Negative
censure,Negative
ceremonial,Positive
chafe,Negative
challenge#1,Negative
challenge#2,Negative
champ,Positive
champion,Positive
championship,Positive
chaos,Negative
chaotic,Negative
charge#2,Negative
charge#3,Negative
charge#6,Negative
charge#7,Negative
charisma,Positive
charitable,Positive
charity,Positive
charm#1,Positive
charm#2,Positive
chase#1,Negative
chase#2,Negative
chaste,Positive
chastise,Negative
cheap,Negative
cheapen,Negative
cheater,Negative
cheer,Positive
cheerful,Positive
cheery,Positive
cherish#1,Positive
cherish#2,Positive
cherub,Positive
chic,Positive
chide,Negative
childish,Negative
chivalrous,Positive
chivalry,Positive
choke#1,Negative
choke#2,Negative
chore,Negative
chosen#2,Positive
chronic,Negative
chum,Positive
circle#3,Negative
civil#1,Positive
civility,Positive
civilization,Positive
civilize#1,Positive
civilize#2,Positive
clamor,Negative
clamorous,Negative
clarify,Positive
clarity,Positive
clash,Negative
classic,Positive
clatter,Negative
clean#1,Positive
clean#3,Positive
cleanliness,Positive
cleanse,Positive
clear#1,Positive
clear#2,Positive
clear#3,Positive
clear#4,Positive
clear#5,Positive
clearness,Positive
clever,Positive
clique,Negative
clog,Negative
close#2,Negative
close#7,Negative
closeness,Positive
clout,Positive
club#2,Negative
club#3,Negative
clumsy,Negative
clutter,Negative
co-operation,Positive
coarse,Negative
coarseness,Negative
coax,Positive
cockiness,Negative
cocky,Negative
coddle,Positive
coerce,Negative
coercion,Negative
coercive,Negative
coexistence,Positive
cogent,Positive
cognizance,Positive
cognizant,Positive
coherent,Positive
cohesion,Positive
cohort,Positive
coincident,Positive
cold#1,Negative
cold#2,Negative
cold#3,Negative
cold#6,Negative
collaborate,Positive
collaboration,Positive
collapse#1,Negative
collapse#2,Negative
colleague,Positive
collide,Negative
collision,Negative
collusion,Negative
colony,Negative
colossal,Positive
combat#1,Negative
combat#2,Negative
combatant,Negative
comeback,Positive
comedy,Positive
comely,Positive
comestible,Positive
comfort#1,Positive
comfort#2,Positive
comfort#3,Positive
comfortable,Positive
comic,Positive
comical,Positive
commemorate,Positive
commemoration,Positive
commencement,Positive
commend,Positive
commendable,Positive
commendation,Positive
commensurate,Positive
commiseration,Negative
commission,Positive
commit#1,Negative
commitment,Positive
commodious,Positive
common#1,Positive
common#4,Positive
commoner,Negative
commonplace,Negative
commonsense,Positive
commotion,Negative
communal,Positive
commune,Positive
communicate#1,Positive
communicate#2,Positive
communicative,Positive
communion,Positive
community,Positive
companion,Positive
companionship,Positive
company#2,Positive
compassion,Positive
compassionate,Positive
compatible,Positive
compel#1,Negative
compel#2,Negative
compensate,Positive
compensation,Positive
compete,Negative
competence,Positive
competency,Positive
competent,Positive
competition,Negative
competitive,Negative
competitor,Negative
complain,Negative
complaint,Negative
complement#1,Positive
complement#2,Positive
complementary,Positive
complete#1,Positive
complete#2,Positive
completeness,Positive
completion,Positive
complex,Negative
complexity,Negative
compliance,Positive
complicate#1,Negative
complicate#2,Negative
complication,Negative
complicity,Negative
compliment,Positive
composure,Positive
comprehend,Positive
comprehension,Positive
comprehensive,Positive
compromise#1,Positive
compromise#2,Positive
compulsion,Negative
conceal,Negative
conceit,Negative
concern#1,Negative
concern#2,Negative
concession,Positive
conclusive,Positive
concur,Positive
condemn#1,Negative
condemn#2,Negative
condemnation,Negative
condescending,Negative
condescension,Negative
condone,Positive
conducive,Positive
confederation,Positive
confer,Positive
confess,Negative
confession,Negative
confidant,Positive
confide,Positive
confidence#1,Positive
confident,Positive
confine#1,Negative
confine#2,Negative
confinement,Negative
confiscate,Negative
confiscation,Negative
conflict#1,Negative
conflict#2,Negative
conflict#3,Negative
conflict#4,Negative
confound,Negative
confront,Negative
confrontation,Negative
confuse#1,Negative
confuse#2,Negative
confuse#3,Negative
confuse#4,Negative
confusion,Negative
congenial,Positive
congested,Negative
congestion,Negative
congratulate,Positive
congratulation,Positive
congratulatory,Positive
congregate,Positive
conjunction,Positive
conjure,Positive
connect,Positive
conquer,Positive
conqueror,Positive
conquest,Positive
conscience,Positive
conscientious,Positive
consensus,Positive
consent#1,Positive
consent#2,Positive
conserve,Positive
consider#1,Positive
consider#2,Positive
considerate,Positive
consideration#1,Positive
consign,Positive
consistency,Positive
consistent,Positive
console,Positive
consolidate,Positive
conspiracy,Negative
conspirator,Negative
conspire,Negative
constancy,Positive
consternation,Negative
constrain,Negative
constraint,Negative
constructive,Positive
consult,Positive
consultation,Positive
consummate,Positive
consumptive,Negative
contact#1,Positive
contact#2,Positive
contagious,Negative
contaminate,Negative
contamination,Negative
contempt,Negative
contemptible,Negative
contemptuous,Negative
contend,Negative
content#3,Positive
content#4,Positive
content#5,Positive
contentment,Positive
continuity,Positive
contradict,Negative
contradiction,Negative
contradictory,Negative
contrary,Negative
contribute#1,Positive
contribute#2,Positive
contribution,Positive
contributor,Positive
controversial,Negative
controversy,Negative
convene,Positive
convict#1,Negative
convict#2,Negative
conviction,Positive
convince#1,Positive
convince#2,Positive
cool,Negative
coolness,Negative
cooperate,Positive
cooperation,Positive
cooperative#1,Positive
cooperative#2,Positive
cooperative#3,Positive
coordinate,Positive
coordination,Positive
cordial,Positive
correct#1,Positive
correct#2,Positive
correct#3,Positive
correction,Positive
corrode,Negative
corrosion,Negative
corrosive,Negative
corrupt,Negative
corruption,Negative
cost#1,Negative
cost#2,Negative
costliness,Negative
costly,Negative
council,Positive
counsel#1,Positive
counsel#2,Positive
counteract,Negative
counteraction,Negative
counterfeit,Negative
courage,Positive
courageous,Positive
courteous,Positive
courtesy,Positive
courtly,Positive
covenant,Positive
covert,Negative
covet,Negative
coward,Negative
cozy,Positive
crafty,Negative
cram,Negative
cramp,Negative
cranky,Negative
crass,Negative
crave,Negative
crawl#2,Negative
craze,Negative
craziness,Negative
crazy,Negative
create,Positive
creative,Positive
creativity,Positive
credentials,Positive
credibility,Positive
credible,Positive
credit#2,Positive
credit#4,Positive
credulous,Negative
crime,Negative
criminal,Negative
cringe,Negative
cripple,Negative
crisis,Negative
critic,Negative
criticize,Negative
croak,Negative
crook,Negative
crooked,Negative
cross#3,Negative
cross#6,Negative
cross#7,Negative
crude,Negative
cruel,Negative
cruelty,Negative
crumble,Negative
crumple,Negative
crusade,Positive
crusader,Positive
crush#1,Negative
crush#2,Negative
crushing,Negative
cuddle,Positive
culminate,Positive
culmination,Positive
culpable,Negative
culprit,Negative
cultivate#1,Positive
cultivate#2,Positive
cultivation,Positive
culture#2,Positive
cumbersome,Negative
cupid,Positive
cure#1,Positive
cure#2,Positive
curse#1,Negative
curse#2,Negative
cursory,Negative
curt,Negative
curtail,Negative
curtsey,Positive
cut#1,Negative
cut#2,Negative
cute,Positive
cynical,Negative
cynicism,Negative
damage#1,Negative
damage#2,Negative
damn,Negative
damnable,Negative
damned,Negative
dance#1,Positive
dance#2,Positive
dance#3,Positive
danger,Negative
dangerous,Negative
dare,Positive
daring,Positive
dark,Negative
darken,Negative
darkness,Negative
darling,Positive
darn,Negative
daunting,Negative
dauntless,Positive
dawdle,Negative
dawn#2,Positive
daze,Negative
dazzle,Positive
dead,Negative
deadlock,Negative
deadly,Negative
deadweight,Negative
deaf,Negative
deafness,Negative
deal#1,Positive
deal#6,Negative
dear#1,Positive
dear#2,Positive
dearth,Negative
death,Negative
debatable,Negative
debtor,Negative
decadence,Negative
decadent,Negative
decay#1,Negative
decay#2,Negative
decease,Negative
deceit,Negative
deceitful,Negative
deceive#1,Negative
deceive#2,Negative
decency,Positive
decent,Positive
deception,Negative
deceptive,Negative
decipher,Positive
decline#1,Negative
decline#2,Negative
decompose,Negative
decorate,Positive
decoration,Positive
decorative,Positive
decrease#1,Negative
decrease#2,Negative
dedicate#1,Positive
dedicate#2,Positive
dedication,Positive
deduce,Positive
defame,Negative
default,Negative
defeat#1,Negative
defeat#2,Negative
defect,Negative
defective,Negative
defend,Positive
defendant,Negative
defender,Positive
defense,Positive
defensive,Negative
deference,Positive
defiance,Negative
defiant,Negative
deficiency,Negative
deficient,Negative
deficit,Negative
defile,Negative
definitive,Positive
defy,Negative
degenerate,Negative
degrade,Negative
dejected,Negative
delay#1,Negative
delay#2,Negative
delicacy,Positive
delicate,Positive
delight#1,Positive
delight#2,Positive
delightful,Positive
delinquency,Negative
delinquent,Negative
delirium,Negative
deluge,Negative
delusion,Negative
demean,Negative
demise,Negative
demolish,Negative
demon,Negative
demoralize,Negative
denial,Negative
denounce,Negative
dent,Negative
deny,Negative
dependability,Positive
dependable,Positive
dependent,Negative
deplete,Negative
deplorable,Negative
deplore,Negative
depose,Negative
depraved,Negative
depreciate,Negative
depreciation,Negative
depress#1,Negative
depress#2,Negative
depress#3,Negative
depression#1,Negative
depression#2,Negative
deprive,Negative
deride,Negative
derision,Negative
derisive,Negative
derogatory,Negative
descry,Positive
desert#2,Negative
desert#4,Negative
desertion,Negative
deserve,Positive
deservedly,Positive
desirable,Positive
desire#3,Negative
desirous,Positive
desolate,Negative
desolation,Negative
despair#1,Negative
despair#2,Negative
desperate,Negative
desperation,Negative
despicable,Negative
despise#1,Negative
despise#2,Negative
destitute,Negative
destroy,Negative
destruction,Negative
destructive,Negative
detachment,Negative
detain,Negative
deter,Negative
deterrent,Negative
detest,Negative
detestable,Negative
detract,Negative
detrimental,Negative
devastate,Negative
devastation,Negative
deviate,Negative
deviation,Negative
devil,Negative
devilish,Negative
devious,Negative
devoid,Negative
devote#1,Positive
devote#2,Positive
devotion,Positive
devout,Positive
dexterity,Positive
diabolic,Negative
diabolical,Negative
dictate,Negative
dictatorial,Negative
differ,Negative
difficult,Negative
difficulty,Negative
dig#1,Positive
dignified,Positive
dignify,Positive
dignity,Positive
dilemma,Negative
diligent,Positive
dim#1,Negative
dim#2,Negative
din,Negative
dire,Negative
dirt,Negative
dirty,Negative
disable,Negative
disadvantage,Negative
disadvantageous,Negative
disagreeable,Negative
disagreement,Negative
disappoint#1,Negative
disappoint#2,Negative
disappoint#3,Negative
disappoint#4,Negative
disappointment,Negative
disapproval,Negative
disapprove,Negative
disarm,Negative
disaster,Negative
disastrous,Negative
disavow,Negative
disavowal,Negative
disbelief,Negative
discern,Positive
discharge#1,Negative
discharge#2,Negative
disclaim,Negative
discomfort,Negative
disconcerted,Negative
discontent,Negative
discord,Negative
discordant,Negative
discourage#1,Negative
discourage#2,Negative
discouragement,Negative
discredit,Negative
discreet,Positive
discrepant,Negative
discretion,Positive
discriminate,Negative
discuss,Positive
disdain,Negative
disease,Negative
diseased,Negative
disgrace,Negative
disguise,Negative
disgust#1,Negative
disgust#2,Negative
disgust#3,Negative
disgust#4,Negative
disgust#5,Negative
dishearten,Negative
dishonest,Negative
dishonor,Negative
disingenuous,Negative
disinterest,Negative
dislike#1,Negative
dislike#2,Negative
dismal,Negative
dismiss#1,Negative
dismiss#2,Negative
disobedience,Negative
disobedient,Negative
disorder,Negative
disorganized,Negative
dispel,Negative
dispensability,Negative
dispense,Negative
displace,Negative
displease,Negative
displeasure,Negative
disposal,Negative
dispose#1,Negative
dispose#2,Negative
disproportionate,Negative
disprove,Negative
disputable,Negative
dispute#1,Negative
dispute#2,Negative
disregard,Negative
disrupt,Negative
disruption,Negative
dissatisfaction,Negative
dissatisfied,Negative
dissatisfy,Negative
dissent,Negative
dissention,Negative
dissolution,Negative
distinct,Positive
distinction,Positive
distinctive,Positive
distinguish#1,Positive
distinguish#2,Positive
distinguished,Positive
distort,Negative
distortion,Negative
distract,Negative
distracting,Negative
distraction,Negative
distress#1,Negative
distress#2,Negative
distrustful,Negative
disturb#1,Negative
disturb#2,Negative
disturb#3,Negative
disturbance,Negative
diversion,Negative
divert,Negative
divide#1,Negative
divide#2,Negative
divine#1,Positive
divine#2,Positive
divinity,Positive
division,Negative
divorce#1,Negative
divorce#2,Negative
divorce#3,Negative
dizzy,Negative
doldrums,Negative
dominance,Positive
dominate#1,Negative
dominate#2,Negative
dominate#3,Negative
domination,Negative
donate,Positive
donation,Positive
doom#1,Negative
doom#2,Negative
doomsday,Negative
dope,Negative
dote,Positive
double#3,Negative
double#4,Negative
doubt#1,Negative
doubt#2,Negative
doubt#4,Negative
doubtful,Negative
doubtless,Positive
downcast,Negative
downfall,Negative
downhearted,Negative
drab,Negative
drag,Negative
dread,Negative
dreadful,Negative
dreamland,Positive
dreary,Negative
drive#2,Negative
droop,Negative
drop#1,Negative
drop#3,Negative
drop#4,Negative
drought,Negative
drown#1,Negative
drown#2,Negative
drowsiness,Negative
drowsy,Negative
drunk#1,Negative
drunk#2,Negative
drunkard,Negative
drunken,Negative
dubious,Negative
dull,Negative
dumb,Negative
dump#1,Negative
dump#2,Negative
dunce,Negative
dungeon,Negative
durability,Positive
durable,Positive
duty,Negative
dwindle,Negative
dying#1,Negative
dying#2,Negative
dynamic,Positive
eager,Positive
eagerness,Positive
earnest,Positive
earnestness,Positive
ease#1,Positive
ease#2,Positive
easy#1,Positive
easy#2,Positive
easy#3,Positive
easy#4,Positive
eccentric,Negative
eccentricity,Negative
economize,Positive
ecstasy,Positive
ecstatic,Positive
edge#4,Negative
edible,Positive
educated#1,Positive
education,Positive
educational,Positive
effective,Positive
effectiveness,Positive
efficacy,Positive
efficiency,Positive
efficient,Positive
egotistical,Negative
elaborate,Positive
elaboration,Positive
elate,Positive
elegance,Positive
elegant,Positive
eliminate,Negative
elimination,Negative
eloquent,Positive
embarrass,Negative
embarrassment,Negative
embellish,Positive
embrace#1,Positive
embrace#2,Positive
emergency,Negative
eminence,Positive
eminent,Positive
empathy,Positive
empower,Positive
empowerment,Positive
empty#1,Negative
empty#2,Negative
enable,Positive
enchant#1,Positive
enchant#2,Positive
enchantment,Positive
encourage#1,Positive
encourage#2,Positive
encouragement,Positive
encroach,Negative
encroachment,Negative
endanger,Negative
endear,Positive
endorse,Positive
endow,Positive
endurance,Positive
enemy,Negative
energetic,Positive
energize,Positive
enforce,Negative
engage#5,Positive
engulf,Negative
enhance,Positive
enhancement,Positive
enjoy,Positive
enjoyable,Positive
enjoyment,Positive
enlighten#1,Positive
enlighten#2,Positive
enlightenment,Positive
enrage,Negative
enrich,Positive
enrichment,Positive
ensemble,Positive
enslave,Negative
ensure,Positive
entangle,Negative
entanglement,Negative
entertain#1,Positive
entertain#2,Positive
entertainment,Positive
enthusiasm,Positive
enthusiastic,Positive
entreat,Negative
entrepreneurial,Positive
entrust,Positive
envious,Negative
envision,Positive
envy,Negative
epidemic,Negative
epithet,Negative
equality,Positive
equitable,Positive
equity,Positive
equivocal,Negative
eradicate,Negative
erase,Negative
erode,Negative
erosion,Negative
err,Negative
erroneous,Negative
error,Negative
esoteric,Negative
essential#1,Positive
essential#2,Positive
establish#1,Positive
establish#2,Positive
esteem,Positive
estranged,Negative
ethical,Positive
ethics,Positive
etiquette,Positive
evade,Negative
evasion,Negative
even#3,Negative
even#4,Positive
even#5,Positive
everlasting,Positive
evict,Negative
evil#1,Negative
evil#2,Negative
exact#1,Positive
exact#2,Positive
exaggeration,Negative
exalt,Positive
exasperate,Negative
exasperation,Negative
excel,Positive
excellence,Positive
excellent,Positive
exception#2,Negative
excess,Negative
excessive,Negative
excite#1,Positive
excite#2,Positive
excited#2,Positive
excitedness,Positive
excitement,Positive
exclude,Negative
exclusion,Negative
excommunication,Negative
execute,Negative
exempt,Negative
exertion,Positive
exhaust,Negative
exhaustion,Negative
exhilaration,Positive
exile,Negative
exit,Negative
exotic,Positive
expedient,Negative
expel,Negative
expense#1,Negative
expense#2,Negative
expensive,Negative
experience#1,Positive
experience#3,Positive
expert#1,Positive
expert#2,Positive
explode,Negative
exploit#2,Negative
explosion,Negative
explosive,Negative
expose,Negative
exquisite,Positive
exterminate,Negative
extermination,Negative
extinct,Negative
extinguish,Negative
extol,Positive
extraordinary,Positive
extravagance,Positive
extravagant,Negative
exuberance,Positive
exuberant,Positive
exult,Positive
exultation,Positive
eye#3,Positive
fabricate,Negative
fabrication,Negative
fabulous,Positive
facilitate,Positive
factual,Positive
fail#1,Negative
fail#2,Negative
fail#3,Negative
fail#4,Negative
failure,Negative
faint,Negative
fair#1,Positive
fair#4,Positive
fair#5,Positive
fairness,Positive
faith#1,Positive
faith#2,Positive
faithful,Positive
faithfulness,Positive
fake,Negative
fall#7,Negative
fallacy,Negative
fallout,Negative
0,Negative
falsehood,Negative
falter,Negative
fame,Positive
familiar,Positive
familiarity,Positive
familiarize,Positive
famine,Negative
famished,Negative
famous,Positive
fanatic,Negative
fanatical,Negative
fancy,Positive
fantastic,Positive
fantasy,Positive
farce,Negative
farsighted,Positive
fascination,Positive
fascist,Negative
fashionable,Positive
fat#1,Negative
fat#2,Negative
fat#3,Negative
fatal,Negative
fatalistic,Negative
fatigue,Negative
fault,Negative
favor#1,Positive
favor#2,Positive
favor#3,Positive
favor#4,Positive
favor#5,Positive
favorable,Positive
favorite,Positive
fear#1,Negative
fear#2,Negative
fear#3,Negative
fearful,Negative
fearless,Positive
fearsome,Negative
feasible,Positive
feast#1,Positive
feast#2,Positive
fed#2,Negative
feeble,Negative
feign,Negative
feint,Negative
fellow#2,Positive
fellowship,Positive
ferocious,Negative
ferocity,Negative
fertile,Positive
fervent,Positive
fervor,Positive
festival,Positive
festive,Positive
festivity,Positive
feud,Negative
