@relation '6HumanCoded Dataset'

@attribute content string
@attribute pos numeric
@attribute neg numeric
@attribute Class {positive,neutral,mixed,negative}

@data
'wut the hell you doin online at 3 am? O yea man isnt your bday today? Or was it a few days ago? or like a week ago. fuck it, what am I talkin about, im lost.',1,3,negative
'Prayers going out to all the soldiers today. May God keep you all safe over there.',3,1,positive
'Sup Vinson',1,1,neutral
'I\'ve been going to school and working my butt off. I am glad to know that you are doing ok. Much Luv! ----- ~Swee\' Pea~',3,2,positive
'hey hey its will from school. ----- ----- Hows? uni hope ur enjoyin it 6th forms pretty cool but can\'t wait to go to uni if i go!!!! ----- ----- much love',4,1,positive
'sorry. lol. It\'ll be okay',2,2,mixed
'HEY!!!!!!!!! Ive been trying to get ahold of you.......so what\'s new?!',3,2,positive
'hey boo boo thanks for add me. ----- wot it the USA like?',2,1,positive
'HEY GIRL!!! I HAVE NOT SEEN YOU IN ALONG TIME. HOW ARE YOU AND THE BABY.COME SEE ME I LIVE IN TOWN..',3,2,positive
'Happy Birthday Chris...now go get trashed!',3,1,positive
'i\'ll try if i can get a sitter.I\'ll let u know',1,2,negative
'Why thank you Hans!',3,1,positive
'dnt b a hater cuz we need some dick! and the toys aint wk n!!!',1,3,negative
'im goin 2 christopher friday. ----- ----- to the game && stuf. ----- ----- talk to me. ----- ----- ----- ----- ?',1,1,neutral
'hi tim! been to the shit co (AKA the fish co) recently??? ahh the good drunk nights at fish co.... how can you go wrong?? haha.... ----- ~R',3,1,positive
'wow the space is actually looking like a space lol! how many girls you got harrassing you about your muscles! lol dork!',3,2,positive
'just dropping in to say hello.',2,1,positive
'Hey Craig how are things going there in Texas I herd that you want to move here to Arizona tell Shana we said hi to her',2,1,positive
'Happy Holidays! Hope U have a great New Year as well!!!',4,1,positive
'yeaaaaaaaaah me edga baby here how the hell ya been...we do gaaabage soooonnsss',3,1,positive
'Love your pics! ----- Thanks for the add!! ----- :)',4,1,positive
imhouwant4life89,1,1,neutral
'I just stopped to say say I LOVE YOU!!!!',5,1,positive
'you should watch us play on the 26th if your still in town. we play a team from north carolina',2,1,positive
'HOW U BEEN U NASTY BOY LOL',2,2,mixed
'HOOTERS. HAHA.',2,1,positive
'wat it do baby boo lmao hey man where have u been?',2,1,positive
'hey HONEY what the hell you been doin...i aint seen you in a min...where the hell you been....so what you doin this weekend...DAM i see you all in LOVE and shyt when did this happen you just dont let me know SHYT NO MORE do you...NOW when we was in PARKSIDE yo ass couldnt wait to tell me shyt i see how you doin it... but do you boo...well my nigga get at me***keshia***',2,4,negative
'What\'s up with that boy Carson?',1,2,negative
'NEXT TIME I SEE YOU IM WHOOPIN\' YOUR COUNTRY ASS, HILLBILLY!',1,4,negative
'i heart u too',3,1,positive
'lol yea ill be there go on hol 4days later cant wait! x',3,1,positive
'What it do man........holla at ya boy!',2,1,positive
'HIIII ----- i love you ----- BOTHHHH ----- MUCHOO.',4,1,positive
'Things are good thanx - wow emma blast from the past!',3,1,positive
'Um, thanks for the add. Want to tell me a little more about yourself?',2,1,positive
'Not yet, Charlie wont be done with her solo ensamble in time to go with us and she said she has a responsibility to her choir team to be there, and not at the race... I\'m so proud... anyway, her friend, Stephanie\'s mom said she can probably just pick her up with Stephanie and let her stay the weekend and go to school with her... she rides the same bus so it would be conveint... she said she had to check a few things out on her schedual but would get back in touch with me soon... I\'ll keep ya updated, its still a month away... a lot can change...',3,2,positive
'hey thats awesome congratulations where are you getting married at? oh and im really sorry to tell u this but i lost your phone number again so could u please give it to me again?',4,2,positive
'yeayea! you too jundo! =]',3,1,positive
'Josh whats up my home skillet haha:) To set up a myspae background you need to set up pics on photoshop and then shift them into a code. Then use a myspace layout to make a background.',2,1,positive
'Hey there! Thanks for the compliment! How is everything? You\'re display pic looks awesome! I like your hair!',4,1,positive
'did you forget what we have?',1,2,negative
'hello there, ----- ----- we thank you kindly for accepting our invite. ----- ----- much appreciated!! ----- ----- regards, ----- S.I.G.H.T.unit',3,1,positive
'i know it cus... love ya.... call me some time',3,1,positive
'Hey \'Liss.. ----- ----- Maybe you should RUN AWAY to MARYVILLE! :P Then we can partay like rawk stars! haha',3,1,positive
'haha yeaaaaaaaaaaaaa',2,1,positive
'i have free internet!!!! lol -----',3,1,positive
'Yeah im worried too...I have two other classes that are at the same time as organic that i have to take to graduate so im really worried!',1,4,negative
'aw big shame lol ----- I haven\'t been up 2 much really ----- jus went 2 oceana havent been sooo bored in my life saw some mates so thats all cool. hope your well speek soon xxx',2,3,negative
'waz gud tho!!?? how u been?',2,1,positive
'Hey thanks for the add. Dont be a stranger=)',2,1,positive
'To Honor!',1,1,neutral
'hey lan!!!!! things r good!!! i loved the comment you left me....nice pic!!!',5,1,positive
'Would you please get a picture on here?',1,2,negative
'HEY SO WHAT HAVE YOU BEEN UP TO?',2,1,positive
'Hi Ali - Managed to get this myspace working now and thought id leave you a wee message! How do u get ur backdrop pink? Miss you! xxx',3,1,positive
'happy birthday to you...happy birthday to you...happy birthdaaay grreegg...happy birthday to you!!! im singing to ya if you couldn\'t tell...:->',3,1,positive
'3 days off! bastardo! im at work today :(',1,3,negative
'definitely not dread the b chord! haha',2,1,positive
'TAKE ME TO JAIL DROP MY SOAP SHUT THE FUCK UP MAN LOL.',2,4,negative
'hey mike!!!',2,1,positive
'Hey girl I haven\'t heard from you in a while so I thought I\'d stop in to see what was up?',2,1,positive
'happy birthday',2,1,positive
'ok ya for sure i just have to ask oh k?',1,1,neutral
'Wow, it\'s been along time since this page has been updated, don\'t worry all I will get on it soon!! I\'ve just been real busy lately, but now that things should calm down some I should have more time!!!',2,2,mixed
'Hey thanks for the add beautiful. Have a great summer. Alright peace',3,1,positive
'HEY THANX FOR DA REQUEST...DO I NO U??',2,1,positive
'What\'s up? Long time no see. It\'s not everyday you come across somebody who knows where Peyton is.',2,1,positive
'love u',3,1,positive
'.. i h0p3 s0 2 l0l wat ar3 yall g0iing 2 lata..',2,1,positive
'Happy Birthday on Sunday! You\'re a class act..........',3,1,positive
'yo matt what up.. long time man, we need to chill soon',2,2,mixed
'Hi donna+alex How are you two on this fine evening. What are your plans?? Anything romantic or a few films by trhe bedside? xx',2,1,positive
'hahahaha legend! ahhh blackadder and the 6hour war film will look very goood on that i bet! ----- i will be up soon to test out the new HD tv hahaha ----- mmmm capri sum and the stak and kidney pie! ----- xxx',3,1,positive
'oh, you know.. good things. ----- i like to keep confidentiality ----- with the fam, you know lol ----- sors bro',2,2,mixed
'blank comment?? whats up with that? lol',2,2,mixed
'Happy Birthday!',3,1,positive
'Hey bro, I seen that u have the buffalo skull drawing that I did erase that one and put the one that I have in my pics it looks much better and u can see the details, Later DJ',2,1,positive
'hey whats up dogg',2,2,mixed
'So i dont think i know you, but you probably saw my myspace and figured that i was one studly mf, and then you added me becasue you happen to have a crush on me. Am i right? Its cool.',2,2,mixed
'lol Hows it going out in misery err... Missouri... seen any tornadoes lately? Anyways, Hope all is good ----- ----- Chat you Later, ----- ----- Nate',2,1,positive
'Thank god for myspace! lol kidding, how have u been?',3,1,positive
'hi,im jessica. ----- :] ----- how are you doing?',2,1,positive
'no problem! damn dats whats really good.. i wanna lose some wieght too! so ima try it out ! thanks k.i.t n oh yeah don\'t let ur boss caught u!! lol',3,2,positive
'becky olives is my bestest friend forever! i love you becky!!! jello shots schmello shots',4,1,positive
'i like your picture',2,1,positive
'yo, next time your on TS, IM me on aim so I can get on and chill with ya',2,1,positive
'Happy Birthday bro',2,1,positive
'fuck you man.',1,4,negative
'alrite buddy. ----- u lot gunna b out in town on thursday? think theres quite alot of ppl goin out, shud b gd. seems a while since we were out with u lot.',3,2,positive
'dude its been forever how you doin? what you been up to?',2,1,positive
'little girl',1,1,neutral
'wats up tyler?? u got 2 listin 2 the song on my pro, it makes fun of soulja boy in a hardcore verson..its awsome',3,1,positive
'hey, just letting you know this is NOT the official Mr. Shy page, sorry! (blame Myspace!!;)) ----- ----- ----- Add-request me at my official page below, and I\'ll accept u there... and then delete this page, thx!! ----- ----- ----- www.myspace.com/mshy ----- ----- ----- ----- also join my MySpace FAN PAGE, where you\'ll get extra info and updates regularly: ----- ----- ----- www.myspace.com/mrshyfanpage ----- -----',2,2,mixed
'hey can u believe this im in england',2,1,positive
'things are pretty good here. Crazy busy mike works everysaturday and I work everyother. So we are really busy I am still doing a college class. I dont think we will be down any time soon just way to much happening in our lives right now.',2,3,negative
'noo forreal haha i dont have backround girls. thats mean ----- i have girls i thnnk arehot and if things go bad they are theree hahaha',2,2,mixed
'I wanna know you, your insecurities ----- Secrets and your needs ----- I want your mental and your physical too ----- And once I\'ve got it I won\'t stop ----- Until you know you\'re beautiful ----- ----- ~DORIAN~',3,1,positive
'Just thought I would drop by and say happy christmas merry new year lol Take care',3,1,positive
'Hey get ahold of me please, I have some things to discuss with ya! Love Ya!',3,1,positive
'Honey I\'m so HAPPY to be carrying your first BABY.... I just can\'t wait until we found out how far along we are... I hope all goes well and we have no problems with this pregnancy......... I Love You ETERNITY, INFINITY, and BEYOND...... ----- ----- TISHA',5,1,positive
'Whatever i do not hate on ppl and i was not giving u a mean face. yall were just being stupid and i was givng u a \"your wierd\" face! But u two r funny though.',2,3,negative
'Whats up...thanx for the add! How have things been.. ----- my bad at the speedway ----- I was ----- on the phone conducting business..lol I didnt even see you come in ----- and i was already late for work =/. But yeah get back at me!',2,2,mixed
'ZOMG It\'s Anthony! <3 The hair style on your pic, it\'s so you =P',2,1,positive
'Hey there, ----- it was really nice to see you guys again. We should do it more often!! Hope to see everyone soon! ----- ~Ashley',3,1,positive
'yes it has. How are you doing? We are doing good. Chad is back out to sea until November!! Gotta love the Navy!! Well, hope you are doing well. Good to hear from ya...keep in touch!',3,1,positive
'hey hun thanks for the add hope your well and spk soon xxxx',3,1,positive
'ACDC why did you have to blow Ken\'s cover?',1,2,negative
'ENJOY YOUR PIZZA???',2,1,positive
'Thanks for the add.',2,1,positive
'thanks for the add :)',2,1,positive
'im bleeding rectally ----- xxx',1,3,negative
'good lad ill be in top form today mate im not hungover hope your the same lol',3,1,positive
'wassup john how u been im jus cummin thru 2 sho sum lubb',2,1,positive
'my babyshower is oct.2oth ima give you an invitation next week so u betta start shopping trick',2,1,positive
'It\'s about time you gave into the world of Mysapce. So how\'s everything going?? Are you and Jess coming up for the wedding?? Well see ya later. ----- ----- Peace.',2,1,positive
'Thank you! ----- ----- =)',3,1,positive
'lol havent gotten it yet, i think im going today..sounds good though.',2,1,positive
'have fun in vegas...',2,1,positive
'heyy loser. :] ----- dont you think your cool now. ----- since you have a myspace. ----- yeahh dont you?!?!?!?! ----- well you are very cool now. ----- BECAUSE MYSPACE IS FREAKIN\' COOL! ----- ok well love you uncle loser.',3,2,positive
'HAPPY BIRTHDAY COUSIN!!! Enjoy your day to the fullest. May God bless and keep you and guide you each and everyday. Take care and have fun! Love, Silvy',4,1,positive
'WHATS UP MY BIG BRO!! ----- WHAT YOU DOIN',2,1,positive
'hey catherine what ya up too well me nothin much tryna pass my classes but i love avinger so much',3,1,positive
'Hey Joe.. Hows it been going.. -----',1,1,neutral
'Hi dobbie! Ooo this is the magazine thing i\'ve been hearing about! cool!! if only i lived in glasgow! haha! a doi de doi de doi de doi! :) hope alls great with u! :)',3,1,positive
'was up homie...im chillin..u?...well cmb ----- Peace ----- ~Hector~',2,1,positive
'Happy Birthday Staz!',2,1,positive
'miss you lover!',3,1,positive
'who\'s that girl?',1,1,neutral
'DID YOU SEE THE BABY :) ----- SHE IS SO CUTE. HOW IS EVERYTHING WITH YOU. BEEN A WHILE',3,1,positive
'HAPPY BIRTHDAY!!!!!!!!!!!!',3,1,positive
'How U doin\' baby i luv u........ The Incredible Mutha Fuckin Black',3,2,positive
'You are by far the most amazing and wonderful woman I have ever met! I love you with all of my heart and soul Ashley!!!!!!',4,1,positive
'nah huy its the knuckle head crew lol, hope yo arm gets betta soon',2,1,positive
'whats up girl!! its been a long long time! how have you been?',2,1,positive
'you suck lol =) telling my the ending or CLOSE to the ending of gatsby >.< i passed my two test hehe 10 out of 12 and 8 out of 10 on vocab >.< kinda bad oh well you still owe me vday dinner >:[ flying elephant is hungry.. i dotn think i want to be an elephant maybe something cutier =D',3,3,mixed
'whatsup? ----- thanks for adding me!<3',2,1,positive
'yo homeslice!! just leavin some love on your page. ill ttyl love peace and chicken grease HOLLA *joelle*',3,1,positive
'HEY OTHER SAMANTHA (HA-HA)THAT IS SO TRUE, I GUESS THAT IS WHY I CAN\'T FORGET YOU. THANKS FOR BEING A TRUE FRIEND.',3,1,positive
'whats up shorty cant wait till friday so i can pick on you lol',3,2,positive
'how are u hun ----- will w/m/b love you alot ----- B&B Margie',3,1,positive
'o, definitely, definitely, definitely!! yea...definitely...',3,1,positive
'hey babe why dont u put picZ of u...i wanna see ur cute face again!!!',3,1,positive
'u cassie freak',1,3,negative
'Not bad thanks. ----- ----- In that case, fancy going to see him in august with me? It is in London but rents are prob going to go up too and go out some place else lol its like ??17.50 which i think is a bargain personally =) ----- ----- Get back to me lovely ----- ----- love love ----- ----- ox',3,1,positive
'Alright guys I know everyones been asking and I hadn\'t made up my mind yet til now.. So here\'s the scoop! I\'m gonna celebrate my B-DAY SATURDAY THE 14th @ GLASS.. So please help me spread the word. I only have a week to get the word out to everybody, but with everyones help we should have a great turn out.. Last year we had an awesome turnout, so lets make this years b-day/reunion party bigger than last years.. I\'m counting on you guys to let everyone know about my OFFICIAL B-DAY/REUNION PARTY! Don\'t miss out on hanging with all our peeps under one roof! ----- ----- In the next day or so I should have some more details for everyone.. But start spreading the word! ----- ----- Orly..',4,1,positive
'Tell Na,I said Happy Birthday!!!!!!!',3,1,positive
'ya it was under warranty so it was free! and i already got everything back on it it was all saved on my computer so its all good to go!',2,1,positive
'damn bro, Happy Belated BIRTHDAY!!! ----- ----- hehe, but yea hope you didnt party to gard and grats on hittin 16 :P ----- ----- peace out Roids, ----- ----- ~MatT~',3,1,positive
'Hi Bry, im still at school doing a research project.',1,1,neutral
'I just got tired of all the shit. No support, no money, no leadership. So I quit. I spent 12 years at that place, and not one person has said thank you or even f-k off since I left. It is all good though, things are going great, and it would have been foolish of me to stay amy longer. That place has nothing going for it anymore, and I don\'t want to be associated with it.',2,4,negative
'My HERO!!! :-)',4,1,positive
'hope you are having a killers summer so far twin.......miss ya lots',3,1,positive
'campin in flag on the 13th!! Bring the bike budday!! Lemme know. try responding for once eh?',2,2,mixed
'were going out tonight, you wanna go? let me know, call me, k?!',2,1,positive
'Hi Dave, ----- All is well here by the river! ----- Just spoke to Jesss this morning and she is getting prepared for a halloween party in Edinburgh.... ----- cannot think of a better city than Ed to do that....very gothic with castles and cobbled streets etc (very Jess hey) ----- Lisa has just got a new job in London and is working for the management company that handles Mark Knopfler.... ----- money for nothin\' and your chicks for free....etc ----- James is at Newcastle uni and having a ball....which means getting pissed most nights, I think! ----- Anyway Dave,.....keep well',3,1,positive
'hello mr, lovely wig i think it should be a permanent fixture! hope all is well and dandy!xx',3,1,positive
'Hey ryan, ----- I heard u might be getting a bike thats sweet. Well good luck in your search. ----- ~trish',2,1,positive
'idk what do you mean.',1,1,neutral
'hey, did you have a good party?? sorry i couldnt go, my parents are nobbers sometimes n wouldnt pick me up :( xxx',2,3,negative
'Shoot i guess when ever i get a chance. All the damn rodeos got me goin a bunch. i\'ll make it down there before to long.',1,1,neutral
'girl, go do something with ya life.',1,2,negative
'thanx 4 da add. can u comment my pics?',2,1,positive
'yo, we gonna listen to dem tapes dis weekend fake money. ya know, CREW 2001 like 1999. ITT TECH and all dat! SLOPPY, BJ, Big DADDY LONG SHLONG, MEX, DUI till you die or me first. ----- GET DEM 40 so you can $ it!',2,1,positive
'okay well at least it was useful!',2,1,positive
'happy birthday =)',2,1,positive
'Your Girlfriend would be even COOLER if she would just let us Cuddle...i mean she gets really Irrate about sharin...but who could blame her when she has such a (cute) Hardcore Rocker Boyfriend.......',2,2,mixed
'yay ur only friend and 1st comment i feel so special',2,1,positive
'preciate dat cuz...i\'an been doin nun but dis music shit...grindin harder than a muthafucka...it\'s payin off doe...',2,3,negative
'Hey who is that Hott Old man in the Picture? Man I hope I look as good as he does when Im that old...',2,1,positive
'hi thanx for the lil add.........i take it you know my bff saMMI............yeah she rocks!',3,1,positive
'hello baby ----- im so glad where still together ----- just wanted to show you some love ----- ----- love stephanie',4,1,positive
'uhhh why am i not in your top whatever??? ----- i think i should be in it. ----- and how do you know adrienne the indian freshman?',2,1,positive
'\"Kim is highly aggitated for no particular reason\" ----- ----- ...of course you are, you work with MIKE. ----- ----- miss you!',2,3,negative
'Hey are yall going to the bash this year ?',1,1,neutral
'I LOVE YOU!!!!',4,1,positive
'whats up with the name ginger and fransic hehe no offense brad but really what is??? ----- its kinda streange but oh well that is like u so nevermind... ----- where u at the library hehe that is for little kids not big kids like u guys!! ----- brittany your little sister ----- (im little so i can go to the library)',2,2,mixed
'I hate liars and bitchassness, too!',1,4,negative
'Thanks for adding me... xoxoxoxo... ----- ----- Love Always, ----- Miss Phoebe',4,1,positive
'are we having fun',1,2,negative
'hey thinks for visting my myspace and requesting to be my friend hit me up when you see it leave me a message',2,1,positive
'Yeh T tickets didnt really happen.. ----- Did you go to Bled or anywhere exciting like that?! I want sunshine now - Feb was miserable, time for daffodils',1,3,negative
'nah its more like bbBOOOOOOOMmm',1,1,neutral
'hey sexy im at work, i just wanted to say have fun shopping...love ya -----',3,1,positive
'Oh no...your song is broken! ----- Happy Birthday Bitch! ----- Love ya!',3,2,positive
'It would be great to play togther again because knowing we have played together pretty much our whole football careers is gunna be hard to leave. im proud of you tho john im glad your having great success ill be here for u if u need me man. and sorry for this sympathetic stuff but im glad your my friend my man.',4,2,positive
'hey mai why are\'nt u on aim?',1,1,neutral
'Mary ----- I ? YOU!! ----- ----- im jus a tad bit bored ----- lol ----- so hows summer treating you?? ----- ----- ???',2,2,mixed
'I am ill!!! With something called Labrynthitus!! ----- ----- Inner ear is fucked!! ----- ----- Cant stand up without falling over!!!!!!! ----- ----- ----- x',1,5,negative
'trying to graduate on time and get the hell out of here so i can start a life of my own.',1,3,negative
'My life is complete. Chad is my myspace friend.woo hoo!',3,1,positive
'welcome aboard matey - see you saturday? for a bit of fighting?',2,1,positive
'im good....... you?',2,1,positive
'YAY! I am so glad you are free to roam again. :)',2,1,positive
'YES whats up u half black son of a gun you',1,2,negative
'Hey DUDE!!!!!!!!! You need to call me so we can have band practice. ROCK ON DUDE!!!!!!!!!',4,1,positive
'wats up biatch.....u like tha movie',1,2,negative
'sup bitches. ----- ----- ----- auto-robotic asphyxiation',1,2,negative
'happy birthday to you happy birthday to you happy birthday dear popssss happy birthday to you! ----- ----- umm.. i think i deserve to be on your top!! ----- ----- love you, ----- sierra',4,1,positive
'thanks, i will be back somewhere around that day too because shawn and i have a wedding to go too.... i have 4 weddings in aug to go too this year.... im goin to be so poor.... i need to find a job out in cali... okay ill talk to ya later, bye',2,2,mixed
'Hey Maribel!!!How have you been?',2,1,positive
'ya i miss u to. lol',3,1,positive
'so how was ur weekend? i hope yall liked the game i did and didnt lol -----',2,2,mixed
'hummm water edge, well im not sure what the place is called but my buddy Kenny and my friend Wendy both live on Hiatus. so i\'m not sure where....what color are the places that u live in??',1,1,neutral
'O MY FUCKING GOD!!!HA,HA,HA!OH GOD!!!! ----- =D',3,2,positive
'THATS GOOD. THATS HOW YU GITTA DO iT NOW DAYS FA YU G3T iN TROUBL3.',2,2,mixed
'hah I feel loved I am on ur tops..=)',3,1,positive
'alright savy! Got a few pictures ere for you mate, sorry I got distracted the other night man. Must see you guys soon for a few. I can send you them pictures over msn if you want to grab my email from our page!',2,2,mixed
'lol doin good! kinda tired though from track.',2,2,mixed
'aye congrats on da new born my nigga',3,1,positive
'Jim doesn\'t get pissed off- why you mad?',1,3,negative
'hell yeah you know it.',1,1,neutral
'is that truck worth havin? shoot',1,1,neutral
'Nigga Henna! wuts tha mutha fuckin deal cuz? i havnt seen ur punk ass in a few mins man! fuckin holla @cha boi bitch! ----- ----- Twankie',1,3,negative
'sox/yankees you take Yanks?!?! ----- ----- are you kiddin me?',1,2,negative
'hey love you are so cute in those pics.... message me back!',3,1,positive
'hey hun how have u been',2,1,positive
'hello new fwend :D',2,1,positive
'Happy Birthday B-E-N!',2,1,positive
'look at that lee top of your leaderboard, oh yeah and im probs the person that know you least. sorry didnt get hold of you left my phone in my dads car. but ill catch ya on monday buddy. much love xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx',3,2,positive
'um u a offie 4 real nick! haha naw im just playin...u know ur sexy as hell lol...',3,2,positive
'hey tiffany welcome to myspace. i seen that nobody sent u ne coments so i figured i would send u one. Hit me back maybe we can do sometime yah know. well ill ttyl bye earl',2,1,positive
'wood lake?',1,1,neutral
'how do i add a pic to my background?',1,1,neutral
'it runs?? but i rolled a bearing in it.im also doin some high po work to it',1,1,neutral
'----- Just to warn you for liability reasons, please read this article.',1,1,neutral
'Ay whats up bro?',1,1,neutral
who?,1,1,neutral
'Did the strom hit in your town?',1,1,neutral
'Love you :)',3,1,positive
'STEVE--OOO whats up man -----',2,1,positive
'HEYY!!! ----- THANKS FOR THE ADD! ----- ?KRiSTiN',2,1,positive
'YAY...i can read your profile!!! lol Terri, i know you wont get this for like 10 friggin years, but i love you and thanks for being there for me when i need you the most!! you\'re a WONDERFUL mother-in-law! I couldn\'t ask for anything more!',4,1,positive
'HAPPY BIRTHDAY!!!!!!!!!!! ----- BRITTONI ----- A*K*A ----- THA ***ALL$TAR***',3,1,positive
'Think you were off from work enough this week?',1,2,negative
'lol ----- soo wut ----- =p ----- ----- we finally finished the floors.. ----- thank GOD..',2,2,mixed
'HEY BOII!!! HAVENT TALK TO YA IN AMIN!! WHATS GOOD WITH YOU?? WELL IM JUS COMMIN BY SHOWIN MY PRESCIOUS LOVE',3,1,positive
'I love being your myspace friend!',3,1,positive
'HEY YALL I MISS YALL TO IM HOPING TO COME HOME SOON SHOW-MEI HAS MY DATES WEAN ILL BE BACK IN THE STATES I CANT SAY RIGHT NOW LOL ALL THE CLISSIFIED STUFF AND ALL LOL BUT ILL KEEP IN TOUCH AND TELL EVERYONE I MISS THEM ALOT AND GOOD LUCK HUNTING THIS YEAR',3,1,positive
'Hows the grind comming?',1,1,neutral
'a big dave whts krakkking man its ceen a long a$$ tyme since i seen you .how have youu ceen .how is skool man ......i live out here in mizzouri still going to skool....well its good to c you on dis shit...good luck and JAH bless...',3,2,positive
'kieron ----- you blaits think my space is amazin..:D ----- loveuu x',3,1,positive
'lol, i feel u ----- ay, if u get a chance listen to da original of that theme song, u can hear how much i had to chop and flip it to get it rite for da beat',2,1,positive
'AAaaaay bitch.........lol naw wassup baby yo page is aight it aint all dat nigga but yea change that pic got yo big ass head in the hole pic no back ground..... but yeah ya nigga gettin ghost im out i love u............',3,2,positive
'whats up with the falcons',1,1,neutral
'yes Simon ----- ----- a punk bitch slap ----- ----- and thanks mate =]',2,2,mixed
'hey bab, we really need to sort somethin 4 valentines so please stop bein a big gimp! 8 days till im home, love u xxxxx',3,2,positive
'wassup babe hit me up tomorrow :o)',2,1,positive
'navid! ----- hows it going? i miss you! =[ ----- hope everything is well ----- ----- ? ----- shelby',3,2,positive
'Ali wear to start i really have no clue...I MISS YOU SO MUCH...come back home...ts so weird not having you around down here..like for real...makes me cry just thinking about ya...and lookin at the pictures on my closet doors what have ya on it makes me cry to...even though right now i cant walk up my steps to get to my closet doors lol...but i hope you are havin so much fun up there with all the hott guys i bet you are..and i bet it was so hard for you mom to leave her little girl...cuz i no my mom couldnt have done that..she dont even like to think about me leavin for college cuz we were talkin about you today and she was like why dont you just go to a community college in pad or madisonville for 2 years were you wont have to leave me..and i was like pssshhtt...whatever im gettin as far away from here as possible and i told her today that i was commin up there all the time when i got my licenses lol...and i am going to or else im pretty much going to go into depression...cuz i miss my ali that much right now...and it hasent even been like a whole 4 days lol and im already going like insain like you dont no...but i have wrote alot and you have alot to do i bet with gettin moved in and everything...but you have to tell me all about your first day tommorow and your new roomate hopefully she aint gay haha..i think you told me she was really pretty...but write me back...love you with all my heart...alex',4,4,mixed
'thanks for the add. wat good wit you...',2,1,positive
'CONGRATULATIONS on the new addition to the family! Can\'t wait to watch James grow & develop into a young man!!',3,1,positive
'Aye I\'m not feelin the best either atm..but that\'s probably only cos of my shit weekend haha ----- ----- Good luck with algebra then ;] ----- ----- School sucks here...like loads of my mates in the year above me have left, and they were the fun ones...so school is majorly boring >_< ----- But I\'ll live haha ----- ----- xx <3',2,3,negative
'Thanx for the love girl!!! ----- ----- You\'re very pretty....I know ur gonna do great with dancing & modeling as long as u stay aggressive. ----- ----- I\'m not modeling yet. I work full time so its kinda hard....but ima try to get on top of right now =p gotta get ourselves out there. Its all about running across the right people =) ----- ----- Hope u have a great weekend. ----- ----- Show me sum love and ill always return it. Don\'t be a stranger. ----- ----- ~!> MIZZ FAITH (B.B.)<!~',3,2,positive
hey,1,1,neutral
'HIIIIIIIIIIIII RISSA!!!! Good to see you on-line!!!',3,1,positive
'yooo holla at me this weekend man so we can party we aint gotten drunk ina minute',2,1,positive
'Whats up homie',2,1,positive
