@relation '6HumanCoded Dataset'

@attribute content string
@attribute pos numeric
@attribute neg numeric
@attribute Class {positive,neutral,mixed,negative}

@data
'Beautiful BBw women for dating naneedj.info',2,2,mixed
'not specifically for gentiles Quran\'s message is for all human being, we should avoid using this jewish term gentile. Wasalam',2,2,mixed
'A little gain,.',2,2,mixed
'This is really cool, I hope you publish the book, I\'d love to read it. If you don\'t mind, could you tell me what the name of the very first song is. Please and thank-you.5 stars btw',4,1,positive
'Listen, fuck off. Just because you have something that is \"yorkshire\" does not mean you have to put t\' in front of random fucking words in your desription. Yes we do it but not as fucking much as that. Do you do the subtitles for coronation street? Because apparently lancastrians do it all the time aswell',1,5,negative
'@bullawaya I never said anything about a one time experience or calvin or spurgeon.',1,3,negative
'sucked so bad',1,4,negative
'hella dope!',4,1,positive
'Yes be an American Scholar.. lol!!!',2,2,mixed
'Even in 8 bit this music rocks.',4,2,positive
'It\'s not that hard.',2,2,mixed
'That would be the same scientists who falssified and withheld evidence that contradicted their global warming theory, yes? ',2,3,negative
'watever kid u dont know wat the fuk ur talking about ur stupid y would u say that if ur username is Osiris ',1,4,negative
'@Albeider Well, this was made a while back, so rules might have been different.',2,2,mixed
'NOW THAT\'S AN OPENING TO A VIDEO.',3,1,positive
'MY FAVORITE MYRTHA DOES IT AGAIN.',3,1,positive
'superba ....',3,1,positive
'i miss my 09 xb :(((((((',3,3,mixed
'Love this scene. F&F are the best couple.',4,1,positive
............,1,1,neutral
'Instant Classic. Boon where are you playing all your synths from?',3,1,positive
'Tears in my eyes! I wish they would\'ve talked at least a little about Secretariat\'s relationship with Eddie Sweat- his indespensible groom! I seriously cannot wait for the movie to come out this fall!!',4,2,positive
'REPITITION: CHANGE CHANGE CHANGE CHANGE \"YES WE CAN\" YES WE CAN YES WE CAN LMBO. They\'re all the same and yes THAT IS TRUE but I have to say the end is near I\'ve never seen as many people mind controlled as with who the NWO just put in power SMART MOVE ON THEIR PART STUPID PEOPLE TO THINK HE IS DIFF. THEN BUSH THEY WORK FOR THE SAME PPL.',2,4,negative
'you would get raped by cross fire.',1,3,negative
'lmfao 9PRELUDE.',1,4,negative
'1:41 I KNOW THAT GUY WHO\'S POINTING! O-e',2,2,mixed
'you ave been to bradford and to westbury so when are u gonna do trowbridge lol',2,2,mixed
'if you wanna help go to thedenanproject.',2,1,positive
'I cant believe anyone would thumbs up Hernje on anything.',1,2,negative
'I know right!!Workout music!!! I <3 Kandi!!',3,1,positive
'so do you think black holes definately don\'t exist or do you think they may or may not exist?',3,1,positive
'If you like this, check out Quantic.',3,1,positive
'haha no bigge and hmm im on a mac so just try to expian it the best you can k',2,2,mixed
'1st to veiw',1,1,neutral
'PEACE !',3,1,positive
'Thanks. :)',3,1,positive
'love the tennis match ,, great video ty',4,1,positive
'This is a song that was a signature song for Average White Band that hit the souls of my youths growing up in the city during the 70\'s. I know, because that\'s what it did for me and my friends.',3,1,positive
'haha they\'re hilarious together! thank you for subbing =)',4,1,positive
'Hey I just got the same heli! Can you help me? I broke a part on it and need to find a place where to buy spare parts but can\'t find any online :(',2,2,mixed
'nice vid',2,1,positive
'he\'s so sweet! i <3 himmmm!',5,1,positive
'You looked very nice.',4,1,positive
'One of my favorite\'s by Joanna. She\'s simply an amazing Musician.',4,1,positive
'She\'s so beautiful!',5,1,positive
'Dude, Its a video, but Im kinda thinking that is a poplar, not a red oak...',2,2,mixed
'What the hell is that thumb print on the screen thing? Must get one of these, lol! ZX has never been bettered or more up to date than this piece of globalist piece of scanning equipment. Stick to the speccy and dump these mobile phones.',2,2,mixed
'The joys of alcohol!',2,2,mixed
'Yeah, I especially got that vibe with the interconnected Dwarven origins.But Jowan is an idiot, *especially* after you get to know him in the Mage origin.NOOO, we spawned from the base.... BWAHAHAHAHA!',2,2,mixed
'simply incredible.',4,1,positive
'@BritishWarLord >.> ur a fag',1,4,negative
'why is the next one your last one',2,2,mixed
'compliment: you have beautiful eyes!! and pretty long lashes too! :)',4,1,positive
'Nice job! :)',4,1,positive
'ITS CALLED TECHNO! The words make this song important, \"The whole wide world is a very narrow bridge, but the important thing is not to worry.\"',3,2,positive
'The guy in the crowd at 1:07 reminds me of David Archuleta...?',1,1,neutral
'fucking cunts.',1,5,negative
'Will is so talented! He is also my cousin lol',4,1,positive
'Only when we remember our \"inalienable rights\" were granted to us by God and not man will we be immune from the brainwashing this documentary uncovered. Those \"crazy\" psychiatrists proved that the inmates are often running the asylum. The Bible could not be more accurate in describing the human heart as \"wicked & deceitful\". We are selfish, play \"mind games\" and try to dominate each other in our families & also internationally. Our only hope resides in our humility and love of God.',2,4,negative
'Tommo is a cockflap. There\'s shit-all chance of 6 Music being cancelled.',2,4,negative
'NPNS - No Plug, No Sale!',1,2,negative
'I watched this show as a kid.I had a huge crush on Dana Plato.....too bad she got hooked on drugs and died. :(',3,3,mixed
'It\'s all that damn clown\'s fault,!!!!TWO FUCKING DOLLARS MAN!!!!',1,4,negative
kwl,1,1,neutral
'@robokill387 That\'s not what he\'s trying to get across. Wolves don\'t make their teeth. He\'s saying if we were in the wild, With just ourselves, Just like the animal kingdom is, We would be extremely low on the food chain.',2,2,mixed
'@ianxofour yeh and it was easy, like always :D',2,2,mixed
'a+++ jolly good show',4,1,positive
'@itsDezz101 so do i. :o',3,1,positive
'@0rima1 Thanks for commenting and watching!',3,1,positive
'this video is really cool',4,1,positive
'@cmayberry86 Jesus also said not to judge',2,2,mixed
'@abel2fresh4u actually your wrong the tmobile g2 for the us has stock android no sense',2,2,mixed
'Lol... Onion is great...',3,1,positive
'Mhmm... The scene where Danny pushes Lindsay down keeps bothering me... It looks as if it wasn\'t lindsay... Her hair is black and long...xDAnnoying... I should sleep more...;)',2,2,mixed
'where is the clap!!! that is my favorite part!!!!besides the build at 4:27. the release at 4:45 gives me goosebumps....',4,1,positive
'Thats not Texas for you Thats 100\% Shamrock right there..... I lived in that town for 3 years and it was a hell hole',1,3,negative
'yes i did answer this question a long time ago, but thanks for telling me anyway, i was planning to go from Amman to L.A direct then take another airline to S.F! so i travel with R.J I\'ll just go to JFK then take a plane from Delta or AA and go to S.F,, P.S Royal Jordanian is a good airliner',2,2,mixed
'These ads are becoming parodies of themselves now.',1,2,negative
'needs the money, naa he\'s loaded man',2,2,mixed
'thanks for posting all of these Bernstein Mahler 3 movements. This is not only beautiful music interpretation, but also extremely fine filming. What a find for me here. Thank you.',4,1,positive
'you can get this on anime-online.c()m for ?1 if you want, its good.',2,1,positive
'i agree, the last minute and a half is musical perfection. I listen to all genres and I\'ve never heard anything as beautiful as it sounds. It\'s what I imagine being played in heaven. no joke. It really shows their evolution as a band.',4,1,positive
'Ohh my bad xD',3,3,mixed
'where are other episodes.',1,1,neutral
'Hearns all the way. I love Sweetpea, but Hearns was not only a big hitter, he could outbox the hell outta guys as proven by the fact that his only loss by decision was at the age of 35. Hearn\'s may not of had the best chin but the guys who KO\'ed him were big punchers, something Pernell was not IMO.Hearns by UD.',3,2,positive
'I Love you man. Keep up the great work. \'?Let your food be your medicine, and your medicine be your food ?\" - Hippocrates...OG gangster.PS: Read Eat,Pray, Love',4,1,positive
'U r a weird spaz',1,4,negative
'tht was a great movie i am excited to meat emily and katharine thunmbs up the werewolf rlly surprised me i had no clue it was a werewolf movie i thought it would be kind of like carrie bc theyw where so outcasted it makes sense jst think about it',3,2,positive
'Okay - I guess your referring to Other video 0-140mph Class 395',2,2,mixed
'datwaz rubbish never seen something so rubbish balddyyy',1,4,negative
'i\'m studying mental health nursing and we are made well aware of the fact that most people who have a mental health problem become fully well. what you say is not borne out in the literature...',2,2,mixed
'Child, you are such a talent. Love your work and your soulful vibe.Kathryn Keats',4,1,positive
'thank you very much!',4,1,positive
'spiders freak me the fuck out, but i only tolerate them for you guys! this is amazing.',3,3,mixed
'How come there are only guys? Strange...something is being hinted here...',1,2,negative
'gonna take you for a ride!',2,2,mixed
'I don\'t have Fibromyalgia but I I do suffer from depression and insomnia. For my depression I take the generic of Prozac which is Fluoxetin. I take 50mg of that. For my insomnia I take the generic of Ambien which is Zolpidem (10-30mg). Usually I\'m asleep within 30 minutes of taking the Zolpidem. It is extremely helpful. I hope I was able to help you in any way.',3,2,positive
'For starters it WAS NOT HITLER\'S EMBLEM. It was originally the Buddhist Symbol for good luck. That probably explains why Hitler stole it.',2,3,negative
'I love synthesizers! this song is so uplifting and beautiful = )',4,1,positive
'that switch back tail vince did near the end was fucken sick!!!!!!!!hopefully he gets turned pro after the chocolate vid drops',3,2,positive
'That was masterfully done by Kurt Angle! That\'s why he is one of the best in the wrestling business today! Stone Cold thought he had angle beat and so did Booker T but out of nowhere and within a blink of an eye he turned the tables on them and became the WCW Champion! Well done Kurt Angle!',3,2,positive
'OMG ONLY 47 VIEWS!',1,2,negative
'he is a perfect presentation full package',4,1,positive
'wow i always thought VBIED stood for Very Big IED... lol although i guess it is rathr large...',2,2,mixed
'I\'d do his drummer',3,2,positive
'ba ba booyah! go SPOUSE!',4,1,positive
'Are you kidding!! He made fast ppl look slow. I mean he out ran Darrell green in one game. Who is considered by many ppl the fastest player ever.',3,2,positive
'One of the greatest displays of the human spirit in the history of mankind. The world will now look to Chile for inspiration. They did the impossible, all the trapped miners and rescue workers showed the world what unity is all about.',4,1,positive
'she had a nice butt 30 years ago-?',2,2,mixed
'I have the NS7 and all I can say is can\'t numark just back up one product make that the flagship product and market the hell out of it. Why does numark always do the same thing over and over again? The v7 looks cool but honestly it\'s just a way to sucker us out of more money.',2,3,negative
'I\'ve already done so, several times in fact, and all you do is keep citing the same discredited studies, links, and \'authorities\'. And you\'ve now expanded your bloviating to include \'every science academy on the planet\'...Superlatives such as THAT are concessions on your part...as everyone can see.',1,4,negative
'Usual leftie, foaming at the mouth crap. National Union of Teachers - in other words commies who hate their own race. Thank God for the BNP. Come on Nick, let\'s get you into Westminster and really sicken them.',3,5,negative
'This movie is better than what critics have said. The ending is far fetch, but thats hollywood baby.',3,2,positive
'intro \\m/',1,1,neutral
'AHH im the first to comment aswell!love it roddie',4,1,positive
'Maybe for PtoP, but for multipoint and interop their Codian MCU has to transcode everything! It takes ALOT more than 30ms to transcode 720p, try 300ms.',2,3,negative
'hey i seen that tractor just last week =) i got a gold key tour there. wach our 9430 be built',2,1,positive
'toi muon tim lai cac anh qua su lien he cua anh toi Co trung uy nguyen ngoc Rang 81 bcd chuyen sang Loi-Ho , don vi nhay toan cuoi cung KonTum',1,1,neutral
'i havent watched this show in like months and im glad that they stopped flagging videos',2,2,mixed
'...but an Ideal Standard (1980s batch) handle :-)',2,1,positive
'After watching so many tutorials, i still cant land the plane using ILS. i\'m missing few basic things out but dont no exactly what.',2,2,mixed
'Any stock pics this week?',1,1,neutral
'@BudPeters44 Are YOU fucking stupid? You SERIOUSLY believe in a worldwide flood? Like, 2 by 2 the millions of different species of animals skipped onto an ark? Didn\'t kill eachother, had enough food for their specialized diets for 40 days and were appropr',1,5,negative
'That\'s amazing! Now babies and young children can swim by themselves.',4,1,positive
'Even though I didn\'t know it at the time, living in Silver Lake in my early 20s was one of the best experiences of my life. I was going through some hard times back then, and if I hadn\'t been in such a tolerant, laid back community, my troubles would have metastasized. I will be forever grateful to the community of Silver Lake for giving me the space I needed to become the productive member of society I am today.',5,2,positive
'I keep coming back to your performance of this magnificent piece, surely one of the noblest in the organ repertoire. It combines youthful exuberance with a remarkably mature msical insight. A fine organ, too - but I would love to hear you repeat this on a real Cavaill?-Coll - St Sulpice or St Ouen, for example.',4,2,positive
'ya sure you do!??',2,2,mixed
'bra sleepy will neva die uhhhhhhhhhhhhhh!!!!!!!!',3,3,mixed
'@thecomicbots Nice!!!',4,1,positive
'A Tribe is the effen best',4,1,positive
'hes voice sounds so different geez not like the other vestion of game of death the lost fotage',2,2,mixed
'yea I hope she\'s alright',2,1,positive
'She is absolutely awesome for a 3 year old. It is amazing that she was able to memorize that whole routine at her age. However, I must agree with a lot of the posts. Her poor neck and spine take a lot of impact when she lands on her head like that. I bet a doctor would cringe if? they saw her do that over and over again. Hopefully she won\'t have any neck or back pain later in life from this. That being said, you are awesome little lady!!!',4,2,positive
'Wow the blonde girl is super yummy',4,1,positive
'those things are stupid. whats the point in having a BB30 frame if you convert it back to standard.its better to use BB30 bearings and then convert the Inner Diameter of the bearings down to shimano standard with Wheels Manufacturing adaptors.',3,3,mixed
'holy crap o meter LOLOLOLOL',3,3,mixed
'does that mean he sleep with the queen ?',2,2,mixed
'I know some of the people in this video! LOL',2,2,mixed
'bj is gonna walk right through this guy',2,2,mixed
'@PlasmaSilver11 It sure is.',2,2,mixed
'i love this song!!! This video is great!',5,1,positive
'Genn is made of magic',4,1,positive
'No problem! :]',4,1,positive
'so good! wonder what nick is going to say?',3,1,positive
'USAGymnast\"Scott Brown was definitely an eye candy in 1982.\"Old mares like you shouldn\'t be thinking nor talking about sex.',3,3,mixed
'No way! I played against T Rey at SD Team Tourney years ago (98 ish). And Ahart? Love the shorts and moustache combo! Diggin these old skool vids!!',3,1,positive
'what was up with the abandoned midgets at the end?',2,2,mixed
'I use this with my 11.5. The recoil reduction is noticeable, but not so much as a good comp like the fsc556.TEST, TEST, TEST this with your duty ammo if you in LE!! It works with Hornady 75 grain TAP, and with the 75 grain practice ammo that I\'ve tried. I\'ve seen it used with 55 grain TAP and 55 grain practice ammo without any trouble, but we didn\'t use much 55 grain TAP.',2,2,mixed
'OMG SSSOOOO CUTE :) he looks like my baby yorkie when i got him :) hes a year old now my babi :P',5,1,positive
'You talk to her we translate mworld5.info',1,1,neutral
'ayyy pero no me gusta por que no salen los de mas de los amigos..como mi micky,carlitos,justa,norma.. marina,marquitos, los papas de isa y los de mas...ellos completaban el show :( espero que recrezen al show',1,1,neutral
'you try cooking while giving a presentation, u dick',1,5,negative
'Who can watch this?',1,2,negative
'panthers on the railway nice',2,2,mixed
'To me, the bailout was a necessary evil to prevent economic Armageddon. HOWEVER, the bailout should immediately have been followed with the kind of legislation being proposed here by Bernie, in that we force the Treasury to identify those banks that are dangerous to our country and to break them up -- Teddy Roosevelt-style. By taking the bailout, those banks showed that they don\'t deserve to stay intact.',2,3,negative
'for earth day, i celebrated by . . going to my local deli, purchasing as many sandwiches as possible, throwing them all in the trash, then taking those styrofoam boxes and digging them deep in the earth in various ity parks. it was awesome. i felt good afterward because i knew i had done my part that day!! also took all the non-biodegradable trash from my garbage and strewn it around as many school gardens as i could find.it truly was a WONDERFUL earth day!! yay!!!!',2,4,negative
'Glad you enjoyed it and thanks so much for the kind words!',4,1,positive
'Try warpin Rodney Mullen and his tech skate style',2,1,positive
'Love it! Is the kid Chris\' son, maybe?',3,1,positive
'I love this show.',4,1,positive
'Dude, this is really good. Indeed, the theme music raped my ears, but this was exactly the kind of thing that needs to get posted more often. Bravo.',4,2,positive
WONDERFUL,4,1,positive
'Lol. I can\'t believe she said \" I am the only white person in the village!\"',3,2,positive
'OMG, I had no idea...I\'m soooo loving this, Wes! I\'ve been into Grass since I was 15 (preferring BG festivals to rock concerts) and loved The Birchmere back home.',4,1,positive
'Good Job.',4,1,positive
'i didnt ask u to watch it or comment it so shut up it aint my fault u thought it was porno or something well srry 2 dissapoint ya perv',1,4,negative
'you\'re horrible lol, fucking clicker go die',1,5,negative
'2:27 jojo! :D',3,1,positive
'People just cant believe how great this team was and i mean TEAM.',2,2,mixed
'Bad audio :(',1,3,negative
'@5796 I really don\'t like Ten Chances because players waste the rest of their chances on the 2nd prize.',1,3,negative
Niceee,3,1,positive
'OMG That Trey is so fucking sexy',4,1,positive
'it should b 0000 if u havent changed it',2,2,mixed
'how did iran get the S-300!!! please!!',1,3,negative
'great video',3,1,positive
'give me the live cow right over the table ill carve off what i want and ride the rest home dum dadadumdadadum',2,4,negative
'R.I.P J-ROC',2,2,mixed
'Haha nojgxbjgegiyfhi',2,2,mixed
HARDCORE,2,2,mixed
'Awesome! Thanks. I will drown trying!!! I hope to get it, hopefully tomorrow.',3,2,positive
'i prefer kevins new hair style the old 1 looked like a broken mop.',2,2,mixed
'yea this is all fine and dandy but it dosnt have any good games yet, so this dosnt even matter.',2,2,mixed
'That made me laugh! Now where are those panties?',2,2,mixed
'sometimes i wish my hair was short and styled like that, im sure my alter-ego does her hair like that though :]',2,2,mixed
'Kim K. recommending Kim S. was sufficient enough for me to get interested. I have been using a modified Snider Investment Method for the last 3 years very successfully. I am very impressed with her both as a system builder, and a financial advisor. Thanks goes to both Kims.Glen',3,1,positive
'Like you wouldn\'t believe. That man makes me want to buy out a BB&B store.',3,1,positive
um......,1,2,negative
'he is awesome and i now enjoy the cod 4 game play wayyy more now....',4,2,positive
'Hey that is really cool. Great background music.I also learned that I need set the camera down instead of holding it. Thanks for teaching this old dog some net tricks.Regards,Gary\"Eronstuc\"',3,2,positive
'@Guaranch pufffffff ... blah blah blah.. girl is your dad,jerk!',1,4,negative
'AWESUUUMMM!!! first comment! ',5,1,positive
fml,1,4,negative
'It\'s raining asbestos on them',1,3,negative
'haha the thing on his helmet',2,2,mixed
'@celest143 me too :) will watch a few mins :D',3,1,positive
'oho, nice ;-)',3,1,positive
'The Library (Michel).',1,1,neutral
cool,3,1,positive
'This is a cool video.',3,1,positive
'@sethisawesome Playstation and Philips were both paid by Nintendo to make the CD addon. When Nintendo decided \"CDs are not the future of gaming\" (Yeah, nintendo. Ahead of their time, though always leaving their foresight at home) they dumped both and thus',2,3,negative
'I love watching your videos. No BS plus you have a very nice speaking voice...have you tried out for the Food Channel? Thanks...',3,2,positive
'wow was that a tv in there??? weird!',3,2,positive
first,1,1,neutral
'Cool David~',2,1,positive
'@777Shekel777 , I dont believe in bible codes. I am certain the heavenly father would have said\" I leave you with my living word for your benefit and as a blessing to those who listen to these words... ... but oyu will need a doctorate in history and math',2,3,negative
'Some great info! I\'m very excited to see more talks from this year get posted!',4,1,positive
'how old do they cast the role?',1,1,neutral
inspiring,2,1,positive
'Jesus is the only way to God there is no other ',3,3,mixed
awesome!,4,1,positive
'ya know lukes friends at the battle of hoth that flew around with him who he was talking to over the walky talkys in the fighters it was them watch it again and youll see it was episodes 4 and 5',2,2,mixed
'NEW , LOL',2,2,mixed
'I WAS THERE I MET THE AFTER THE CONCERT!!!! hehe THEY\'RE AMAZING!!!',5,1,positive
'@HappyWithLife33 no. go dl Fear. way b4 psych and way better I\'m sure : )',2,2,mixed
'That last \"Tun tun tun tun tun tun!\" Cracks me up xD',2,1,positive
'I think we all know that the trumpet player was excellent but man on man, the orchestra backing him up was superb. Very musical and followed all the dynamics....true professionals.',4,1,positive
'artistic... talented man',4,1,positive
'of course that\'s fake, they have tons of interviews together where they absolutely love each other. Even extras on the dvd where they\'re all goofing around',3,2,positive
lol,2,2,mixed
'4:15, pretty cool moment.',3,1,positive
'i just love this song , very goog song :D',4,1,positive
'so wonderful job!',4,1,positive
'My favorite part was the ending with Jack saying \"Did you miss me?\" Nice!',3,1,positive
'sacredclan/oakclan/iceclan/forestclan/emberclan/ anyother clans ( CLAN VIDEO)',1,1,neutral
'A knob wow How old are u kid like 12 what would your mom say if she knew u were using that kinda language .go get a life',1,5,negative
'I din eat the cookie god... I din eat the cookie!!!',2,2,mixed
Beautiful!,4,1,positive
'yeah they would be able to engage',2,1,positive
'raven needs 2 c\'m back eric young sucks i wanna c him leave tna g2 shitty wwe',2,4,negative
'oh and also how much room is on the delta hang ledge',1,1,neutral
'Great style. Really smooth and clean.',2,1,positive
'OMG. That\'s so horrible. ',2,2,mixed
'its a CHICKEN!!! and yep. 50 bucks. :)',2,1,positive
':D yugioh references lol',2,1,positive
'The Republican Party is DEAD!!! LMAO',2,3,negative
awesome,3,1,positive
'with all due respect ithink you need to catagories the contents to make it more fluid in use. just a thought. i dig the bag though',2,2,mixed
'As did I',1,2,negative
'Make that 4 people. I hated that guy! We were glad to get rid of him',1,3,negative
'i can do that shit...lol :p',2,2,mixed
'I am unsure of the grammar here. What would kill himself? How much he states humans?Calm down, re-read and then post. It will be okay. Though I do think he has any allegiance save to knowledge.',2,2,mixed
'@ParkourAmour Actually, it is easier for me to do on bar because my hands DON\'T move around freely. On rings, it takes extra effort to maintain your false grip. By the way, I am the guy in the video and on bar I have done this same workout in 20 seconds l',2,2,mixed
'Does anyone know the best winter lure',1,1,neutral
'Sick Video!!! 2010 World Cup At Windham Mountain!!',2,2,mixed
'@Drewstorm, not quite correct. Old School was ahead overall in SUB-TOTAL of BOTH the Quarter-Finals AND the Semi-Finals until the Finals, but Storm Front outscored them in both the Semis and the Finals. It\'s just that the amount by which Storm Front outsc',2,2,mixed
'My favourite ballet. The second act is the best bit, (if there is one!) Thanks for sharing.',3,1,positive
'Tylko po co? wasze ego, chcecie byc wyjatkowi? Otwieracie sie na sily demoniczne, kt?re wykorzystaly sataniste Monroe aby opracowac metode, zwiesc ludzi i odwr?cic od Boga w tym uzalezniajacym procesie z kt?rego ciezko sie wyrwac, a slad na psychice, grzech i duszy pozostaje. Demon juz zawsze bedzie dzialal w waszym zyciu czy tego chcecie czy nie niszczac wasza psychike i zycie. Niekt?rzy przypisza to smiercia i pieklem! Wiecej o zagrozeniach cykl dokumentalny \"Jarmark cud?w\".Nic nie zyskujecie!',1,1,neutral
'Fairytales can\'t be changed? Oh, that\'s not true. We\'ve been changing them since forever!',2,2,mixed
'When Carlos was on LSD playing his guitar, he actualy thought that the neck of his guitar was turning into a snake, so he had to fight that fear and play amazingly at the same time, fucking amazing :D',3,2,positive
'that was great fun rick. you are are a fun host too - cracked me up. also great questions and all that. !!!',3,1,positive
'@TerenB1 I also saw it!',2,2,mixed
'You are most definitely an open channel! Your videos just keep getting better and better. Your sense of color and balance is amazing.',4,1,positive
'Robin Hood is my favourite one!:-) HAHAHA',4,1,positive
'dara is not only cute or sexy 2ne1 is not the same like others group they are the best because they are not just cute ,pretty ,sexy unlike the other using that effect but 2ne1 they have everything sexy ,cute, pretty ,hot ,cool and talented !!! go go go dara park and 2ne1',4,1,positive
'Just live your life! Whatever you are, make your small happy life',3,3,mixed
'Hey Nutnfancy What Blade are you using at 18:00-18:03?',1,1,neutral
'There is a song here that every country music fan can relate too sometime in their life! Thank you for your great uploads!!!!!',4,1,positive
'he a sniper just like me',2,2,mixed
'Thanks for helping me against that heavy.0:49',2,1,positive
'How can u not like Shaggy and Shabba???? LMAO!',2,2,mixed
'I SoCed the guards. Only Cauthrien survived:)',2,2,mixed
'She has an Aretha sound, she can definitely get some work as Aretha\'s background singer or even do demos for Aretha, she\'s interesting, I wonder if she lives what she sings, these poor women who these men take it through.',3,2,positive
'i burned the disc and stuff just like you said. only problem is that when it says \" Click the button below to restart your computer and begin the installation process. \" i click restart and it just restarts. that\'s all. no installing occurs. could you help me out with this? thanks and great simple video instructions. i\'ll rate it 5 stars once i get this working.',3,2,positive
'Great video!!!',4,1,positive
'Hello? (it\'s the brain)',1,3,negative
'Illuminati? Ha, Ha. I read the book. Excellent. The movie, not so much. She\'s such an idiot and a fake!',3,3,mixed
'@blue861000 I agree. Bullies & haters are wrong in every sense of the word.',2,2,mixed
